Mapping parameters for Oncorhynchus mykiss (Rainbow trout),,,,,
,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,
,,,,,
,,,,,
Map data (HSPEC) for predicted occurrences (n = 3743): ,,,,,
,,,,,
"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):",,,,,
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.,,,,,
2. Click on the Regenerate Map Data and View Map button then click OK.,,,,,
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.,,,,,
4. Select HSPEC then Submit.,,,,,
,,,,,
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oncorhynchus,mykiss,-27.25,-70.75,5207:370:2,0.02
Oncorhynchus,mykiss,-27.75,-70.75,5207:370:4,0.02
Oncorhynchus,mykiss,-27.75,-71.25,5207:371:3,0.02
Oncorhynchus,mykiss,26.25,119.75,1211:469:2,0.02
Oncorhynchus,mykiss,26.75,119.75,1211:469:4,0.02
Oncorhynchus,mykiss,28.25,121.25,1212:381:1,0.07
Oncorhynchus,mykiss,28.25,121.75,1212:381:2,0.08
Oncorhynchus,mykiss,28.75,121.75,1212:381:4,0.08
Oncorhynchus,mykiss,28.25,122.25,1212:382:1,0.04
Oncorhynchus,mykiss,28.25,122.75,1212:382:2,0.04
Oncorhynchus,mykiss,28.75,122.25,1212:382:3,0.04
Oncorhynchus,mykiss,28.75,122.75,1212:382:4,0.04
Oncorhynchus,mykiss,29.25,121.25,1212:391:1,0.03
Oncorhynchus,mykiss,29.75,121.25,1212:391:3,0.02
Oncorhynchus,mykiss,29.25,123.25,1212:393:1,0.18
Oncorhynchus,mykiss,29.25,123.75,1212:393:2,0.18
Oncorhynchus,mykiss,29.75,123.25,1212:393:3,0.18
Oncorhynchus,mykiss,29.75,123.75,1212:393:4,0.18
Oncorhynchus,mykiss,37.25,119.25,1311:479:1,0.19
Oncorhynchus,mykiss,37.25,119.75,1311:479:2,0.19
Oncorhynchus,mykiss,37.75,119.25,1311:479:3,0.19
Oncorhynchus,mykiss,37.75,119.75,1311:479:4,0.19
Oncorhynchus,mykiss,38.25,119.25,1311:489:1,0.18
Oncorhynchus,mykiss,38.25,119.75,1311:489:2,0.19
Oncorhynchus,mykiss,38.75,119.25,1311:489:3,0.16
Oncorhynchus,mykiss,38.75,119.75,1311:489:4,0.19
Oncorhynchus,mykiss,39.25,119.25,1311:499:1,0.19
Oncorhynchus,mykiss,30.25,120.25,1312:100:1,0.05
Oncorhynchus,mykiss,30.75,120.75,1312:100:4,0.05
Oncorhynchus,mykiss,30.25,124.25,1312:104:1,0.16
Oncorhynchus,mykiss,30.25,124.75,1312:104:2,0.16
Oncorhynchus,mykiss,30.75,124.25,1312:104:3,0.16
Oncorhynchus,mykiss,30.75,124.75,1312:104:4,0.16
Oncorhynchus,mykiss,31.75,120.25,1312:110:3,0.03
Oncorhynchus,mykiss,31.25,121.25,1312:111:1,0.16
Oncorhynchus,mykiss,32.25,120.25,1312:120:1,0.03
Oncorhynchus,mykiss,31.25,125.25,1312:215:1,0.17
Oncorhynchus,mykiss,31.25,125.75,1312:215:2,0.17
Oncorhynchus,mykiss,31.75,125.25,1312:215:3,0.17
Oncorhynchus,mykiss,31.75,125.75,1312:215:4,0.17
Oncorhynchus,mykiss,31.25,126.25,1312:216:1,0.02
Oncorhynchus,mykiss,31.25,126.75,1312:216:2,0.02
Oncorhynchus,mykiss,31.75,126.25,1312:216:3,0.02
Oncorhynchus,mykiss,31.75,126.75,1312:216:4,0.02
Oncorhynchus,mykiss,32.25,127.25,1312:227:1,0.05
Oncorhynchus,mykiss,32.25,127.75,1312:227:2,0.03
Oncorhynchus,mykiss,32.75,127.25,1312:227:3,0.05
Oncorhynchus,mykiss,32.75,127.75,1312:227:4,0.04
Oncorhynchus,mykiss,33.25,128.25,1312:238:1,0.03
Oncorhynchus,mykiss,33.25,128.75,1312:238:2,0.03
Oncorhynchus,mykiss,33.75,128.25,1312:238:3,0.05
Oncorhynchus,mykiss,33.75,128.75,1312:238:4,0.04
Oncorhynchus,mykiss,34.25,128.25,1312:248:1,0.14
Oncorhynchus,mykiss,34.25,128.75,1312:248:2,0.16
Oncorhynchus,mykiss,34.75,128.25,1312:248:3,0.16
Oncorhynchus,mykiss,34.75,128.75,1312:248:4,0.16
Oncorhynchus,mykiss,34.25,129.25,1312:249:1,0.08
Oncorhynchus,mykiss,34.25,129.75,1312:249:2,0.07
Oncorhynchus,mykiss,34.75,129.25,1312:249:3,0.1
Oncorhynchus,mykiss,34.75,129.75,1312:249:4,0.08
Oncorhynchus,mykiss,36.75,120.75,1312:360:4,0.09
Oncorhynchus,mykiss,37.25,121.75,1312:371:2,0.09
Oncorhynchus,mykiss,39.25,120.25,1312:390:1,0.15
Oncorhynchus,mykiss,35.25,126.75,1312:456:2,0.03
Oncorhynchus,mykiss,35.25,127.75,1312:457:2,0.02
Oncorhynchus,mykiss,35.25,128.25,1312:458:1,0.02
Oncorhynchus,mykiss,38.25,125.75,1312:485:2,0.09
Oncorhynchus,mykiss,38.75,125.75,1312:485:4,0.05
Oncorhynchus,mykiss,38.25,128.25,1312:488:1,0.07
Oncorhynchus,mykiss,39.75,125.75,1312:495:4,0.05
Oncorhynchus,mykiss,39.75,128.75,1312:498:4,0.13
Oncorhynchus,mykiss,34.25,130.25,1313:140:1,0.05
Oncorhynchus,mykiss,34.25,130.75,1313:140:2,0.02
Oncorhynchus,mykiss,34.75,130.25,1313:140:3,0.05
Oncorhynchus,mykiss,34.75,130.75,1313:140:4,0.05
Oncorhynchus,mykiss,34.25,131.25,1313:141:1,0.02
Oncorhynchus,mykiss,34.25,131.75,1313:141:2,0.03
Oncorhynchus,mykiss,34.75,131.25,1313:141:3,0.03
Oncorhynchus,mykiss,34.75,132.25,1313:142:3,0.01
Oncorhynchus,mykiss,34.75,134.75,1313:144:4,0.01
Oncorhynchus,mykiss,35.25,130.25,1313:350:1,0.17
Oncorhynchus,mykiss,35.25,130.75,1313:350:2,0.09
Oncorhynchus,mykiss,35.75,130.25,1313:350:3,0.16
Oncorhynchus,mykiss,35.75,130.75,1313:350:4,0.04
Oncorhynchus,mykiss,35.25,131.25,1313:351:1,0.08
Oncorhynchus,mykiss,35.25,131.75,1313:351:2,0.07
