Mapping parameters for Takifugu rubripes (Japanese pufferfish),,,,,
,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,
,,,,,
,,,,,
Map data (HSPEC) for predicted occurrences (n = 3050): ,,,,,
,,,,,
"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):",,,,,
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.,,,,,
2. Click on the Regenerate Map Data and View Map button then click OK.,,,,,
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.,,,,,
4. Select HSPEC then Submit.,,,,,
,,,,,
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Takifugu,rubripes,0.25,9.25,1000:209:1,0.13
Takifugu,rubripes,0.25,9.75,1000:209:2,0.13
Takifugu,rubripes,0.75,9.25,1000:209:3,0.13
Takifugu,rubripes,0.75,9.75,1000:209:4,0.11
Takifugu,rubripes,1.25,7.25,1000:217:1,0.08
Takifugu,rubripes,1.75,7.25,1000:217:3,0.08
Takifugu,rubripes,1.75,7.75,1000:217:4,0.08
Takifugu,rubripes,1.25,9.25,1000:219:1,0.01
Takifugu,rubripes,1.25,9.75,1000:219:2,0.03
Takifugu,rubripes,3.75,5.75,1000:235:4,0.04
Takifugu,rubripes,3.75,6.25,1000:236:3,0.02
Takifugu,rubripes,3.75,6.75,1000:236:4,0.02
Takifugu,rubripes,4.25,5.25,1000:245:1,0.03
Takifugu,rubripes,4.25,5.75,1000:245:2,0.03
Takifugu,rubripes,4.75,5.25,1000:245:3,0.03
Takifugu,rubripes,4.75,5.75,1000:245:4,0.03
Takifugu,rubripes,4.25,6.25,1000:246:1,0.02
Takifugu,rubripes,4.25,6.75,1000:246:2,0.02
Takifugu,rubripes,5.75,0.25,1000:350:3,0.09
Takifugu,rubripes,5.75,0.75,1000:350:4,0.09
Takifugu,rubripes,5.75,1.25,1000:351:3,0.07
Takifugu,rubripes,5.25,4.75,1000:354:2,0.04
Takifugu,rubripes,6.25,1.25,1000:361:1,0.07
Takifugu,rubripes,6.25,1.75,1000:361:2,0.07
Takifugu,rubripes,6.25,2.25,1000:362:1,0.1
