Species,MaxLengthTL,Troph,K,eco_ind,country_name,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,China,61,CHN,156,56500,156,Yellow Sea,2,28250
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,East China Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,East China Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,East China Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,East China Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Yellow Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Yellow Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Yellow Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Yellow Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Southern China,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Southern China,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Southern China,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Southern China,3,29700
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,East China Sea,3,525.891041
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,Southern China,3,525.891041
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,South Kuroshio,3,525.891041
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,East China Sea,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,East China Sea,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,East China Sea,3,20
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,Southern China,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,Southern China,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,Southern China,3,20
Acanthopagrus schlegeli,NA,NA,NA,NA,Taiwan Province of China,61,TWN,158,0.875,158,South Kuroshio,3,0.2916666666666667
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Taiwan Province of China,61,TWN,158,0.666666667,158,South Kuroshio,3,0.22222222233333333
Pagrus auratus,130,3.59,0.1,0.3,Taiwan Province of China,61,TWN,158,60,158,South Kuroshio,3,20
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Colombia,31,COL,170,112.1666667,170,Panama Bight,2,56.08333335
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Colombia,31,COL,170,112.1666667,170,Southwestern Caribbean,2,56.08333335
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Mayotte,51,MYT,175,4,175,Western and Northern Madagascar,1,4
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,Mayotte,51,MYT,175,84.92,175,Western and Northern Madagascar,1,84.92
Argyrosomus regius,230,4.29,0.12,0.5040816326530613,Croatia,37,HRV,191,51.61528571,191,Adriatic Sea,1,51.61528571
