country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Croatia,Sparus aurata,37,HRV,191,2625.0319,191,Adriatic Sea
Croatia,Thunnus thynnus,37,HRV,191,1575.5,191,Adriatic Sea
Cyprus,Argyrosomus regius,37,CYP,196,26.93285714,196,Aegean Sea
Cyprus,Dicentrarchus labrax,37,CYP,196,1247,196,Aegean Sea
Cyprus,Siganus rivulatus,37,CYP,196,0.94,196,Aegean Sea
Cyprus,Sparus aurata,37,CYP,196,3028,196,Aegean Sea
Cyprus,Thunnus thynnus,37,CYP,196,50,196,Aegean Sea
Denmark,Oncorhynchus mykiss,27,DNK,208,10453.928,208,North Sea
Denmark,Scophthalmus maximus,27,DNK,208,6.6375,208,North Sea
Denmark,Gadus morhua,27,DNK,208,2.5,208,North Sea
Dominican Republic,Rachycentron canadum,31,DOM,214,100,214,Greater Antilles
Dominican Republic,Sparus aurata,31,DOM,214,350,214,Greater Antilles
Ecuador,Rachycentron canadum,87,ECU,218,34.73,218,Panama Bight
Ecuador,Rachycentron canadum,87,ECU,218,34.73,218,Guayaquil
Faroe Islands,Oncorhynchus mykiss,27,FRO,234,5351.4,234,Faroe Plateau
Faroe Islands,Salmo salar,27,FRO,234,62078.5,234,Faroe Plateau
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,South European Atlantic Shelf
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,South European Atlantic Shelf
France,Salmo salar,27,FRA,250,667,250,South European Atlantic Shelf
France,Scophthalmus maximus,27,FRA,250,477.16,250,South European Atlantic Shelf
France,Sparus aurata,27,FRA,250,697.325,250,South European Atlantic Shelf
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,North Sea
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,North Sea
France,Salmo salar,27,FRA,250,667,250,North Sea
France,Sparus aurata,27,FRA,250,697.325,250,North Sea
France,Argyrosomus regius,37,FRA,250,468.72,250,Western Mediterranean
France,Dicentrarchus labrax,37,FRA,250,1526.62,250,Western Mediterranean
France,Dicentrarchus labrax,37,FRA,250,1526.62,250,Western Mediterranean
France,Sparus aurata,37,FRA,250,748.03,250,Western Mediterranean
Germany,Scophthalmus maximus,27,DEU,276,15,276,Baltic Sea
Germany,Scophthalmus maximus,27,DEU,276,15,276,North Sea
Germany,Paralichthys olivaceus,27,DEU,276,0.25,276,Baltic Sea
Greece,Argyrosomus regius,37,GRC,300,708.62,300,Aegean Sea
Greece,Dicentrarchus labrax,37,GRC,300,36157.97,300,Aegean Sea
Greece,Dicentrarchus labrax,37,GRC,300,36157.97,300,Ionian Sea
Greece,Sparus aurata,37,GRC,300,52539.02,300,Aegean Sea
Greece,Sparus aurata,37,GRC,300,52539.02,300,Aegean Sea
Greece,Thunnus thynnus,37,GRC,300,67.5,300,Ionian Sea
Greece,Thunnus thynnus,37,GRC,300,67.5,300,Ionian Sea
Greece,Mugil cephalus,37,GRC,300,47.68222222,300,Ionian Sea
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Ionian Sea
Greece,Mugil cephalus,37,GRC,300,47.68222222,300,Aegean Sea
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Aegean Sea
Guadeloupe,Sciaenops ocellatus,31,GLP,312,6.79,312,Eastern Caribbean
"China, Hong Kong SAR",Trachinotus blochii,61,HKG,344,62,344,Southern China
Iceland,Salmo salar,27,ISL,352,100.3333333,352,South and West Iceland
Iceland,Scophthalmus maximus,27,ISL,352,37.88888889,352,South and West Iceland
Iceland,Gadus morhua,27,ISL,352,878.6,352,South and West Iceland
Iceland,Hippoglossus hippoglossus,27,ISL,352,26.35555556,352,South and West Iceland
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Malacca Strait
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Western Sumatra
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sunda Shelf/Java Sea
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Southern Java
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sulawesi Sea/Makassar Strait
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Lesser Sunda
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Banda Sea
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Malacca Strait
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Western Sumatra
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sunda Shelf/Java Sea
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Southern Java
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sulawesi Sea/Makassar Strait
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Lesser Sunda
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Banda Sea
Ireland,Oncorhynchus mykiss,27,IRL,372,472.7714286,372,Celtic Seas
Ireland,Salmo salar,27,IRL,372,11958.55,372,Celtic Seas
Israel,Dicentrarchus labrax,37,ISR,376,26.75,376,Levantine Sea
Israel,Sciaenops ocellatus,37,ISR,376,60.5,376,Levantine Sea
Israel,Sparus aurata,37,ISR,376,1808.4,376,Levantine Sea
Italy,Argyrosomus regius,37,ITA,380,54.375,380,Western Mediterranean
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Western Mediterranean
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Ionian Sea
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Adriatic Sea
Italy,Sparus aurata,37,ITA,380,4182.886,380,Western Mediterranean
