country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Taiwan Province of China,Pagrus auratus,61,TWN,158,60,158,Southern China,3,20
Taiwan Province of China,Acanthopagrus schlegeli,61,TWN,158,0.875,158,South Kuroshio,3,0.2916666666666667
Taiwan Province of China,Lates calcarifer,61,TWN,158,0.666666667,158,South Kuroshio,3,0.22222222233333333
Taiwan Province of China,Pagrus auratus,61,TWN,158,60,158,South Kuroshio,3,20
Colombia,Rachycentron canadum,31,COL,170,112.1666667,170,Panama Bight,2,56.08333335
Colombia,Rachycentron canadum,31,COL,170,112.1666667,170,Southwestern Caribbean,2,56.08333335
Mayotte,Rachycentron canadum,51,MYT,175,4,175,Western and Northern Madagascar,1,4
Mayotte,Sciaenops ocellatus,51,MYT,175,84.92,175,Western and Northern Madagascar,1,84.92
Croatia,Argyrosomus regius,37,HRV,191,51.61528571,191,Adriatic Sea,1,51.61528571
Croatia,Dicentrarchus labrax,37,HRV,191,3216.7134,191,Adriatic Sea,1,3216.7134
Croatia,Oncorhynchus mykiss,37,HRV,191,2.084875,191,Adriatic Sea,1,2.084875
Croatia,Scophthalmus maximus,37,HRV,191,2.729666667,191,Adriatic Sea,1,2.729666667
Croatia,Sparus aurata,37,HRV,191,2625.0319,191,Adriatic Sea,1,2625.0319
Croatia,Thunnus thynnus,37,HRV,191,1575.5,191,Adriatic Sea,1,1575.5
Cyprus,Argyrosomus regius,37,CYP,196,26.93285714,196,Aegean Sea,1,26.93285714
Cyprus,Dicentrarchus labrax,37,CYP,196,1247,196,Aegean Sea,1,1247
Cyprus,Siganus rivulatus,37,CYP,196,0.94,196,Aegean Sea,1,0.94
Cyprus,Sparus aurata,37,CYP,196,3028,196,Aegean Sea,1,3028
Cyprus,Thunnus thynnus,37,CYP,196,50,196,Aegean Sea,1,50
Denmark,Oncorhynchus mykiss,27,DNK,208,10453.928,208,North Sea,1,10453.928
Denmark,Scophthalmus maximus,27,DNK,208,6.6375,208,North Sea,1,6.6375
Denmark,Gadus morhua,27,DNK,208,2.5,208,North Sea,1,2.5
Dominican Republic,Rachycentron canadum,31,DOM,214,100,214,Greater Antilles,1,100
Dominican Republic,Sparus aurata,31,DOM,214,350,214,Greater Antilles,1,350
Ecuador,Rachycentron canadum,87,ECU,218,34.73,218,Panama Bight,2,17.365
Ecuador,Rachycentron canadum,87,ECU,218,34.73,218,Guayaquil,2,17.365
Faroe Islands,Oncorhynchus mykiss,27,FRO,234,5351.4,234,Faroe Plateau,1,5351.4
Faroe Islands,Salmo salar,27,FRO,234,62078.5,234,Faroe Plateau,1,62078.5
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,South European Atlantic Shelf,2,595.5125
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,South European Atlantic Shelf,2,14.9
France,Salmo salar,27,FRA,250,667,250,South European Atlantic Shelf,2,333.5
France,Scophthalmus maximus,27,FRA,250,477.16,250,South European Atlantic Shelf,1,477.16
France,Sparus aurata,27,FRA,250,697.325,250,South European Atlantic Shelf,2,348.6625
France,Dicentrarchus labrax,27,FRA,250,1191.025,250,North Sea,2,595.5125
France,Oncorhynchus mykiss,27,FRA,250,29.8,250,North Sea,2,14.9
France,Salmo salar,27,FRA,250,667,250,North Sea,2,333.5
France,Sparus aurata,27,FRA,250,697.325,250,North Sea,2,348.6625
France,Argyrosomus regius,37,FRA,250,468.72,250,Western Mediterranean,1,468.72
France,Dicentrarchus labrax,37,FRA,250,1526.62,250,Western Mediterranean,1,1526.62
France,Dicentrarchus labrax,37,FRA,250,1526.62,250,Western Mediterranean,1,1526.62
France,Sparus aurata,37,FRA,250,748.03,250,Western Mediterranean,1,748.03
Germany,Scophthalmus maximus,27,DEU,276,15,276,Baltic Sea,2,7.5
Germany,Scophthalmus maximus,27,DEU,276,15,276,North Sea,2,7.5
Germany,Paralichthys olivaceus,27,DEU,276,0.25,276,Baltic Sea,1,0.25
Greece,Argyrosomus regius,37,GRC,300,708.62,300,Aegean Sea,1,708.62
Greece,Dicentrarchus labrax,37,GRC,300,36157.97,300,Aegean Sea,2,18078.985
Greece,Dicentrarchus labrax,37,GRC,300,36157.97,300,Ionian Sea,2,18078.985
Greece,Sparus aurata,37,GRC,300,52539.02,300,Aegean Sea,1,52539.02
Greece,Sparus aurata,37,GRC,300,52539.02,300,Aegean Sea,1,52539.02
Greece,Thunnus thynnus,37,GRC,300,67.5,300,Ionian Sea,1,67.5
Greece,Thunnus thynnus,37,GRC,300,67.5,300,Ionian Sea,1,67.5
Greece,Mugil cephalus,37,GRC,300,47.68222222,300,Ionian Sea,2,23.84111111
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Ionian Sea,2,517.94
Greece,Mugil cephalus,37,GRC,300,47.68222222,300,Aegean Sea,2,23.84111111
Greece,Pagrus pagrus,37,GRC,300,1035.88,300,Aegean Sea,2,517.94
Guadeloupe,Sciaenops ocellatus,31,GLP,312,6.79,312,Eastern Caribbean,1,6.79
"China, Hong Kong SAR",Trachinotus blochii,61,HKG,344,62,344,Southern China,1,62
Iceland,Salmo salar,27,ISL,352,100.3333333,352,South and West Iceland,1,100.3333333
Iceland,Scophthalmus maximus,27,ISL,352,37.88888889,352,South and West Iceland,1,37.88888889
Iceland,Gadus morhua,27,ISL,352,878.6,352,South and West Iceland,1,878.6
Iceland,Hippoglossus hippoglossus,27,ISL,352,26.35555556,352,South and West Iceland,1,26.35555556
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Malacca Strait,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Western Sumatra,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sunda Shelf/Java Sea,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Southern Java,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Sulawesi Sea/Makassar Strait,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Lesser Sunda,7,23.240571428571428
Indonesia,Chanos chanos,71,IDN,360,162.684,360,Banda Sea,7,23.240571428571428
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Malacca Strait,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Western Sumatra,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sunda Shelf/Java Sea,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Southern Java,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Sulawesi Sea/Makassar Strait,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Lesser Sunda,7,291.4602142857143
Indonesia,Lates calcarifer,71,IDN,360,2040.2215,360,Banda Sea,7,291.4602142857143
Ireland,Oncorhynchus mykiss,27,IRL,372,472.7714286,372,Celtic Seas,1,472.7714286
Ireland,Salmo salar,27,IRL,372,11958.55,372,Celtic Seas,1,11958.55
Israel,Dicentrarchus labrax,37,ISR,376,26.75,376,Levantine Sea,1,26.75
Israel,Sciaenops ocellatus,37,ISR,376,60.5,376,Levantine Sea,1,60.5
Israel,Sparus aurata,37,ISR,376,1808.4,376,Levantine Sea,1,1808.4
Italy,Argyrosomus regius,37,ITA,380,54.375,380,Western Mediterranean,1,54.375
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Western Mediterranean,3,1111.9646666666665
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Ionian Sea,3,1111.9646666666665
Italy,Dicentrarchus labrax,37,ITA,380,3335.894,380,Adriatic Sea,3,1111.9646666666665
Italy,Sparus aurata,37,ITA,380,4182.886,380,Western Mediterranean,3,1394.2953333333335
Italy,Sparus aurata,37,ITA,380,4182.886,380,Ionian Sea,3,1394.2953333333335
Italy,Sparus aurata,37,ITA,380,4182.886,380,Adriatic Sea,3,1394.2953333333335
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Western Mediterranean,3,120.35333333333334
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Ionian Sea,3,120.35333333333334
Italy,Thunnus thynnus,37,ITA,380,361.06,380,Adriatic Sea,3,120.35333333333334
Italy,Mugil cephalus,37,ITA,380,6,380,Ionian Sea,1,6
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Central Kuroshio Current,4,2972.95
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Chiloense,4,16094.725
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,North Sea,4,848.725
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Central Kuroshio Current,4,775.325
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Central Kuroshio Current,4,37033.65
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Central Kuroshio Current,4,1068.275
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Central Kuroshio Current,4,3149.3
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Central Kuroshio Current,4,303.8
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,East China Sea,4,2972.95
Japan,Pagrus auratus,61,JPN,392,64378.9,392,East China Sea,4,16094.725
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,East China Sea,4,848.725
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,East China Sea,4,775.325
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,East China Sea,4,37033.65
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,East China Sea,4,1068.275
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,East China Sea,4,3149.3
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,East China Sea,4,303.8
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Sea of Japan/East Sea,4,2972.95
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Sea of Japan/East Sea,4,16094.725
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Sea of Japan/East Sea,4,848.725
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Sea of Japan/East Sea,4,775.325
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Sea of Japan/East Sea,4,37033.65
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Sea of Japan/East Sea,4,1068.275
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Sea of Japan/East Sea,4,3149.3
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Sea of Japan/East Sea,4,303.8
Japan,Oncorhynchus kisutch,61,JPN,392,11891.8,392,Northeastern Honshu,4,2972.95
Japan,Pagrus auratus,61,JPN,392,64378.9,392,Northeastern Honshu,4,16094.725
Japan,Paralichthys olivaceus,61,JPN,392,3394.9,392,Northeastern Honshu,4,848.725
Japan,Pseudocaranx dentex,61,JPN,392,3101.3,392,Northeastern Honshu,4,775.325
Japan,Seriola quinqueradiata,61,JPN,392,148134.6,392,Northeastern Honshu,4,37033.65
Japan,Takifugu rubripes,61,JPN,392,4273.1,392,Northeastern Honshu,4,1068.275
Japan,Thunnus orientalis,61,JPN,392,12597.2,392,Northeastern Honshu,4,3149.3
Japan,Trachurus japonicus,61,JPN,392,1215.2,392,Northeastern Honshu,4,303.8
"Korea, Dem. People's Rep",Salmo salar,61,PRK,408,13.88888889,408,Sea of Japan/East Sea,1,13.88888889
"Korea, Dem. People's Rep",Takifugu rubripes,61,PRK,408,7.222222222,408,Southern China,1,7.222222222
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,Yellow Sea,3,513.1666666666666
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,Yellow Sea,3,599.4
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,Yellow Sea,3,1852.2666666666667
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,Yellow Sea,3,1828.0666666666666
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,Yellow Sea,3,14327.800000000001
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,Yellow Sea,3,8269.266666666666
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,Yellow Sea,3,62.4
"Korea, Republic of",Trachurus japonicus,61,KOR,410,14.33333333,410,Yellow Sea,3,4.7777777766666665
"Korea, Republic of",Acanthopagrus schlegeli,61,KOR,410,1539.5,410,East China Sea,3,513.1666666666666
"Korea, Republic of",Lateolabrax japonicus,61,KOR,410,1798.2,410,East China Sea,3,599.4
"Korea, Republic of",Mugil cephalus,61,KOR,410,5556.8,410,East China Sea,3,1852.2666666666667
"Korea, Republic of",Pagrus auratus,61,KOR,410,5484.2,410,East China Sea,3,1828.0666666666666
"Korea, Republic of",Paralichthys olivaceus,61,KOR,410,42983.4,410,East China Sea,3,14327.800000000001
"Korea, Republic of",Sebastes schlegeli,61,KOR,410,24807.8,410,East China Sea,3,8269.266666666666
"Korea, Republic of",Seriola quinqueradiata,61,KOR,410,187.2,410,East China Sea,3,62.4
