ECOREGION,Species,status
Scotian Shelf,Thunnus thynnus,Native
Sea of Japan/East Sea,Acanthopagrus schlegelii,Native
Sea of Japan/East Sea,Chanos chanos,Native
Sea of Japan/East Sea,Lateolabrax japonicus,Native
Sea of Japan/East Sea,Oncorhynchus mykiss,Native
Sea of Japan/East Sea,Oncorhynchus tshawytscha,Native
Sea of Japan/East Sea,Paralichthys olivaceus,Native
Sea of Japan/East Sea,Rachycentron canadum,Native
Sea of Japan/East Sea,Sebastes schlegelii,Native
Sea of Japan/East Sea,Seriola quinqueradiata,Native
Sea of Japan/East Sea,Takifugu rubripes,Native
Sea of Japan/East Sea,Thunnus orientalis,Native
Sea of Japan/East Sea,Trachurus japonicus,Native
Sea of Okhotsk,Oncorhynchus kisutch,Native
Sea of Okhotsk,Oncorhynchus mykiss,Native
Sea of Okhotsk,Thunnus orientalis,Native
Seychelles,Chanos chanos,Native
Seychelles,Rachycentron canadum,Native
Seychelles,Thunnus maccoyii,Native
Seychelles,Trachinotus blochii,Native
Shark Bay,Chanos chanos,Native
Shark Bay,Mugil cephalus,Native
Shark Bay,Pseudocaranx dentex,Native
Shark Bay,Rachycentron canadum,Native
Shark Bay,Thunnus maccoyii,Native
Snares Island,Thunnus maccoyii,Native
Snares Island,Thunnus orientalis,Native
Society Islands,Chanos chanos,Native
Society Islands,Mugil cephalus,Native
Society Islands,Thunnus orientalis,Native
Solomon Archipelago,Chanos chanos,Native
Solomon Archipelago,Rachycentron canadum,Native
Solomon Archipelago,Thunnus orientalis,Native
Solomon Archipelago,Trachinotus blochii,Native
Solomon Sea,Chanos chanos,Native
Solomon Sea,Lates calcarifer,Native
Solomon Sea,Pseudocaranx dentex,Native
Solomon Sea,Rachycentron canadum,Native
Solomon Sea,Thunnus orientalis,Native
Solomon Sea,Trachinotus blochii,Native
South and West Iceland,Argyrosomus regius,Native
South and West Iceland,Dicentrarchus labrax,Native
South and West Iceland,Gadus morhua,Native
South and West Iceland,Salmo salar,Native
South and West Iceland,Scophthalmus maximus,Native
South and West Iceland,Thunnus thynnus,Native
South Australian Gulfs,Mugil cephalus,Native
South Australian Gulfs,Pseudocaranx dentex,Native
South Australian Gulfs,Thunnus maccoyii,Native
South China Sea Oceanic Islands,Lates calcarifer,Native
South China Sea Oceanic Islands,Pagrus auratus,Native
South China Sea Oceanic Islands,Paralichthys olivaceus,Native
South China Sea Oceanic Islands,Rachycentron canadum,Native
South China Sea Oceanic Islands,Thunnus orientalis,Native
South China Sea Oceanic Islands,Trachinotus blochii,Native
South European Atlantic Shelf,Argyrosomus regius,Native
South European Atlantic Shelf,Dicentrarchus labrax,Native
South European Atlantic Shelf,Gadus morhua,Native
South European Atlantic Shelf,Mugil cephalus,Native
South European Atlantic Shelf,Pagrus pagrus,Native
South European Atlantic Shelf,Salmo salar,Native
South European Atlantic Shelf,Scophthalmus maximus,Native
South European Atlantic Shelf,Sparus aurata,Native
South European Atlantic Shelf,Thunnus thynnus,Native
South India and Sri Lanka,Chanos chanos,Native
South India and Sri Lanka,Lates calcarifer,Native
South India and Sri Lanka,Rachycentron canadum,Native
South India and Sri Lanka,Trachinotus blochii,Native
South Kuroshio,Acanthopagrus schlegelii,Native
South Kuroshio,Chanos chanos,Native
South Kuroshio,Larimichthys crocea,Native
South Kuroshio,Lateolabrax japonicus,Native
South Kuroshio,Lates calcarifer,Native
South Kuroshio,Mugil cephalus,Native
South Kuroshio,Pagrus auratus,Native
South Kuroshio,Paralichthys olivaceus,Native
South Kuroshio,Pseudocaranx dentex,Native
South Kuroshio,Rachycentron canadum,Native
South Kuroshio,Seriola quinqueradiata,Native
South Kuroshio,Takifugu rubripes,Native
South Kuroshio,Thunnus orientalis,Native
South Kuroshio,Trachinotus blochii,Native
South New Zealand,Pseudocaranx dentex,Native
South New Zealand,Thunnus maccoyii,Native
South New Zealand,Thunnus orientalis,Native
Southeast Madagascar,Chanos chanos,Native
Southeast Madagascar,Mugil cephalus,Native
Southeast Madagascar,Pseudocaranx dentex,Native
Southeast Madagascar,Rachycentron canadum,Native
Southeast Madagascar,Thunnus maccoyii,Native
Southeast Madagascar,Trachinotus blochii,Native
Southeast Papua New Guinea,Chanos chanos,Native
Southeast Papua New Guinea,Lates calcarifer,Native
Southeast Papua New Guinea,Pseudocaranx dentex,Native
Southeast Papua New Guinea,Rachycentron canadum,Native
Southeast Papua New Guinea,Thunnus orientalis,Native
Southeast Papua New Guinea,Trachinotus blochii,Native
Southeastern Brazil,Pagrus pagrus,Native
Southeastern Brazil,Pseudocaranx dentex,Native
Southeastern Brazil,Rachycentron canadum,Native
Southeastern Brazil,Thunnus maccoyii,Native
Southeastern Brazil,Thunnus thynnus,Native
Southern California Bight,Chanos chanos,Native
Southern California Bight,Mugil cephalus,Native
Southern California Bight,Oncorhynchus kisutch,Native
Southern California Bight,Oncorhynchus mykiss,Native
Southern California Bight,Oncorhynchus tshawytscha,Native
Southern California Bight,Thunnus orientalis,Native
Southern Caribbean,Pagrus pagrus,Native
Southern Caribbean,Pseudocaranx dentex,Native
Southern Caribbean,Rachycentron canadum,Native
Southern Caribbean,Thunnus thynnus,Native
Southern China,Acanthopagrus schlegelii,Native
Southern China,Chanos chanos,Native
Southern China,Larimichthys crocea,Native
Southern China,Lateolabrax japonicus,Native
Southern China,Lates calcarifer,Native
Southern China,Mugil cephalus,Native
Southern China,Pagrus auratus,Native
Southern China,Paralichthys olivaceus,Native
Southern China,Pseudocaranx dentex,Native
Southern China,Rachycentron canadum,Native
Southern China,Seriola quinqueradiata,Native
Southern China,Takifugu rubripes,Native
Southern China,Thunnus orientalis,Native
Southern China,Trachinotus blochii,Native
Southern Cook/Austral Islands,Chanos chanos,Native
Southern Cook/Austral Islands,Thunnus orientalis,Native
Southern Cook/Austral Islands,Trachinotus blochii,Native
Southern Grand Banks - South Newfoundland,Gadus morhua,Native
Southern Grand Banks - South Newfoundland,Hippoglossus hippoglossus,Native
Southern Grand Banks - South Newfoundland,Mugil cephalus,Native
Southern Grand Banks - South Newfoundland,Salmo salar,Native
Southern Grand Banks - South Newfoundland,Thunnus thynnus,Native
Southern Gulf of Mexico,Mugil cephalus,Native
Southern Gulf of Mexico,Pseudocaranx dentex,Native
Southern Gulf of Mexico,Rachycentron canadum,Native
Southern Gulf of Mexico,Sciaenops ocellatus,Native
Southern Gulf of Mexico,Thunnus thynnus,Native
Southern Java,Chanos chanos,Native
Southern Java,Lates calcarifer,Native
Southern Java,Rachycentron canadum,Native
Southern Java,Thunnus maccoyii,Native
Southern Java,Trachinotus blochii,Native
Southern Norway,Dicentrarchus labrax,Native
Southern Norway,Gadus morhua,Native
Southern Norway,Hippoglossus hippoglossus,Native
Southern Norway,Salmo salar,Native
Southern Norway,Scophthalmus maximus,Native
Southern Norway,Thunnus thynnus,Native
Southern Red Sea,Chanos chanos,Native
Southern Red Sea,Mugil cephalus,Native
Southern Red Sea,Rachycentron canadum,Native
Southern Red Sea,Trachinotus blochii,Native
Southern Vietnam,Chanos chanos,Native
Southern Vietnam,Lateolabrax japonicus,Native
Southern Vietnam,Lates calcarifer,Native
Southern Vietnam,Mugil cephalus,Native
Southern Vietnam,Paralichthys olivaceus,Native
Southern Vietnam,Rachycentron canadum,Native
Southern Vietnam,Trachinotus blochii,Native
Southwestern Caribbean,Mugil cephalus,Native
Southwestern Caribbean,Rachycentron canadum,Native
Southwestern Caribbean,Thunnus thynnus,Native
St. Helena and Ascension Islands,Pseudocaranx dentex,Native
St. Helena and Ascension Islands,Thunnus thynnus,Native
Sulawesi Sea/Makassar Strait,Rachycentron canadum,Native
Sulawesi Sea/Makassar Strait,Thunnus orientalis,Native
Sunda Shelf/Java Sea,Lates calcarifer,Native
Sunda Shelf/Java Sea,Rachycentron canadum,Native
Three Kings-North Cape,Pseudocaranx dentex,Native
Three Kings-North Cape,Thunnus maccoyii,Native
Three Kings-North Cape,Thunnus orientalis,Native
Tonga Islands,Chanos chanos,Native
Tonga Islands,Thunnus orientalis,Native
Tonga Islands,Trachinotus blochii,Native
Torres Strait Northern Great Barrier Reef,Chanos chanos,Native
Torres Strait Northern Great Barrier Reef,Lates calcarifer,Native
Torres Strait Northern Great Barrier Reef,Rachycentron canadum,Native
Torres Strait Northern Great Barrier Reef,Thunnus orientalis,Native
Torres Strait Northern Great Barrier Reef,Trachinotus blochii,Native
Trindade and Martin Vaz Islands,Thunnus maccoyii,Native
Trindade and Martin Vaz Islands,Thunnus thynnus,Native
Tristan Gough,Thunnus maccoyii,Native
Tristan Gough,Thunnus thynnus,Native
Tuamotus,Chanos chanos,Native
Tuamotus,Mugil cephalus,Native
Tuamotus,Pseudocaranx dentex,Native
Tuamotus,Thunnus orientalis,Native
Tunisian Plateau/Gulf of Sidra,Argyrosomus regius,Native
Tunisian Plateau/Gulf of Sidra,Dicentrarchus labrax,Native
Tunisian Plateau/Gulf of Sidra,Mugil cephalus,Native
Tunisian Plateau/Gulf of Sidra,Pagrus pagrus,Native
Tunisian Plateau/Gulf of Sidra,Pseudocaranx dentex,Native
Tunisian Plateau/Gulf of Sidra,Scophthalmus maximus,Native
Tunisian Plateau/Gulf of Sidra,Sparus aurata,Native
Tunisian Plateau/Gulf of Sidra,Thunnus thynnus,Native
Tweed-Moreton,Chanos chanos,Native
Tweed-Moreton,Lates calcarifer,Native
Tweed-Moreton,Mugil cephalus,Native
Tweed-Moreton,Pseudocaranx dentex,Native
Tweed-Moreton,Rachycentron canadum,Native
Tweed-Moreton,Thunnus maccoyii,Native
Tweed-Moreton,Thunnus orientalis,Native
Tweed-Moreton,Trachinotus blochii,Native
Uruguay-Buenos Aires Shelf,Pagrus pagrus,Native
Uruguay-Buenos Aires Shelf,Rachycentron canadum,Native
Uruguay-Buenos Aires Shelf,Thunnus maccoyii,Native
Uruguay-Buenos Aires Shelf,Thunnus thynnus,Native
Vanuatu,Chanos chanos,Native
Vanuatu,Thunnus orientalis,Native
Vanuatu,Trachinotus blochii,Native
Virginian,Gadus morhua,Native
Virginian,Hippoglossus hippoglossus,Native
Virginian,Mugil cephalus,Native
Virginian,Pagrus pagrus,Native
Virginian,Rachycentron canadum,Native
Virginian,Salmo salar,Native
Virginian,Sciaenops ocellatus,Native
Virginian,Thunnus thynnus,Native
West Caroline Islands,Chanos chanos,Native
West Caroline Islands,Lates calcarifer,Native
West Caroline Islands,Mugil cephalus,Native
West Caroline Islands,Thunnus orientalis,Native
West Caroline Islands,Trachinotus blochii,Native
West Greenland Shelf,Gadus morhua,Native
West Greenland Shelf,Hippoglossus hippoglossus,Native
West Greenland Shelf,Salmo salar,Native
West Greenland Shelf,Thunnus thynnus,Native
Western and Northern Madagascar,Chanos chanos,Native
Western and Northern Madagascar,Mugil cephalus,Native
Western and Northern Madagascar,Rachycentron canadum,Native
Western and Northern Madagascar,Thunnus maccoyii,Native
Western and Northern Madagascar,Trachinotus blochii,Native
Western Arabian Sea,Chanos chanos,Native
Western Arabian Sea,Rachycentron canadum,Native
Western Arabian Sea,Trachinotus blochii,Native
Western Bassian,Mugil cephalus,Native
Western Bassian,Pseudocaranx dentex,Native
Western Bassian,Thunnus maccoyii,Native
Western Caribbean,Mugil cephalus,Native
Western Caribbean,Rachycentron canadum,Native
Western Caribbean,Thunnus thynnus,Native
Western Galapagos Islands,Chanos chanos,Native
Western Galapagos Islands,Mugil cephalus,Native
Western Galapagos Islands,Thunnus orientalis,Native
Western India,Chanos chanos,Native
Western India,Lates calcarifer,Native
Western India,Mugil cephalus,Native
Western India,Rachycentron canadum,Native
Western India,Trachinotus blochii,Native
Western Mediterranean,Argyrosomus regius,Native
Western Mediterranean,Dicentrarchus labrax,Native
Western Mediterranean,Mugil cephalus,Native
Western Mediterranean,Pagrus pagrus,Native
Western Mediterranean,Pseudocaranx dentex,Native
Western Mediterranean,Salmo salar,Native
Western Mediterranean,Scophthalmus maximus,Native
Western Mediterranean,Sparus aurata,Native
Western Mediterranean,Thunnus thynnus,Native
Western Sumatra,Mugil cephalus,Native
White Sea,Salmo salar,Native
Yellow Sea,Lateolabrax japonicus,Native
Yellow Sea,Takifugu rubripes,Native
Yellow Sea,Thunnus orientalis,Native
Yellow Sea,Larimichthys crocea,Native
Yellow Sea,Pagrus auratus,Native
Yellow Sea,Acanthopagrus schlegelii,Native
Yellow Sea,Mugil cephalus,Native
Yellow Sea,Paralichthys olivaceus,Native
Yellow Sea,Rachycentron canadum,Native
Yellow Sea,Sebastes schlegelii,Native
Yellow Sea,Seriola quinqueradiata,Native
Yellow Sea,Trachurus japonicus,Native
