ECOREGION,Species,status
Central and Southern Great Barrier Reef,Lates calcarifer,Native
Central and Southern Great Barrier Reef,Mugil cephalus,Native
Central and Southern Great Barrier Reef,Pseudocaranx dentex,Native
Central and Southern Great Barrier Reef,Rachycentron canadum,Native
Central and Southern Great Barrier Reef,Thunnus orientalis,Native
Central and Southern Great Barrier Reef,Trachinotus blochii,Native
Central Kuroshio Current,Acanthopagrus schlegelii,Native
Central Kuroshio Current,Larimichthys crocea,Native
Central Kuroshio Current,Lateolabrax japonicus,Native
Central Kuroshio Current,Mugil cephalus,Native
Central Kuroshio Current,Oncorhynchus mykiss,Native
Central Kuroshio Current,Pagrus auratus,Native
Central Kuroshio Current,Paralichthys olivaceus,Native
Central Kuroshio Current,Pseudocaranx dentex,Native
Central Kuroshio Current,Rachycentron canadum,Native
Central Kuroshio Current,Sebastes schlegelii,Native
Central Kuroshio Current,Seriola quinqueradiata,Native
Central Kuroshio Current,Takifugu rubripes,Native
Central Kuroshio Current,Thunnus orientalis,Native
Central Kuroshio Current,Trachurus japonicus,Native
Central New Zealand,Chanos chanos,Native
Central New Zealand,Pseudocaranx dentex,Native
Central New Zealand,Thunnus maccoyii,Native
Central New Zealand,Thunnus orientalis,Native
Central Peru,Chanos chanos,Native
Central Peru,Mugil cephalus,Native
Central Somali Coast,Chanos chanos,Native
Central Somali Coast,Pseudocaranx dentex,Native
Central Somali Coast,Rachycentron canadum,Native
Central Somali Coast,Trachinotus blochii,Native
Chagos,Chanos chanos,Native
Chagos,Rachycentron canadum,Native
Chagos,Trachinotus blochii,Native
Chatham Island,Thunnus maccoyii,Native
Chatham Island,Thunnus orientalis,Native
Chiapas-Nicaragua,Chanos chanos,Native
Chiapas-Nicaragua,Mugil cephalus,Native
Chiapas-Nicaragua,Thunnus orientalis,Native
Chukchi Sea,Oncorhynchus kisutch,Native
Clipperton,Chanos chanos,Native
Cocos-Keeling/Christmas Island,Chanos chanos,Native
Cocos-Keeling/Christmas Island,Thunnus maccoyii,Native
Cocos-Keeling/Christmas Island,Trachinotus blochii,Native
Cocos Islands,Chanos chanos,Native
Coral Sea,Chanos chanos,Native
Coral Sea,Mugil cephalus,Native
Coral Sea,Pseudocaranx dentex,Native
Coral Sea,Rachycentron canadum,Native
Coral Sea,Thunnus orientalis,Native
Coral Sea,Trachinotus blochii,Native
Cortezian,Chanos chanos,Native
Cortezian,Mugil cephalus,Native
Cortezian,Oncorhynchus kisutch,Native
Cortezian,Thunnus orientalis,Native
Crozet Islands,Thunnus maccoyii,Native
Delagoa,Chanos chanos,Native
Delagoa,Mugil cephalus,Native
Delagoa,Rachycentron canadum,Native
Delagoa,Thunnus maccoyii,Native
Delagoa,Trachinotus blochii,Native
East African Coral Coast,Chanos chanos,Native
East African Coral Coast,Rachycentron canadum,Native
East African Coral Coast,Trachinotus blochii,Native
East Caroline Islands,Chanos chanos,Native
East Caroline Islands,Rachycentron canadum,Native
East Caroline Islands,Thunnus orientalis,Native
East Caroline Islands,Trachinotus blochii,Native
East China Sea,Acanthopagrus schlegelii,Native
East China Sea,Chanos chanos,Native
East China Sea,Larimichthys crocea,Native
East China Sea,Lateolabrax japonicus,Native
East China Sea,Lates calcarifer,Native
East China Sea,Mugil cephalus,Native
East China Sea,Pagrus auratus,Native
East China Sea,Paralichthys olivaceus,Native
East China Sea,Pseudocaranx dentex,Native
East China Sea,Rachycentron canadum,Native
East China Sea,Sebastes schlegelii,Native
East China Sea,Seriola quinqueradiata,Native
East China Sea,Takifugu rubripes,Native
East China Sea,Thunnus orientalis,Native
East China Sea,Trachinotus blochii,Native
East China Sea,Trachurus japonicus,Native
East Greenland Shelf,Gadus morhua,Native
East Greenland Shelf,Hippoglossus hippoglossus,Native
East Greenland Shelf,Salmo salar,Native
East Greenland Shelf,Thunnus thynnus,Native
Easter Island,Chanos chanos,Native
Easter Island,Pseudocaranx dentex,Native
Easter Island,Thunnus maccoyii,Native
Easter Island,Thunnus orientalis,Native
Eastern Bering Sea,Oncorhynchus kisutch,Native
Eastern Bering Sea,Oncorhynchus mykiss,Native
Eastern Bering Sea,Oncorhynchus tshawytscha,Native
Eastern Brazil,Pagrus pagrus,Native
Eastern Brazil,Pseudocaranx dentex,Native
Eastern Brazil,Rachycentron canadum,Native
Eastern Brazil,Thunnus maccoyii,Native
Eastern Brazil,Thunnus thynnus,Native
Eastern Caribbean,Mugil cephalus,Native
Eastern Caribbean,Rachycentron canadum,Native
Eastern Caribbean,Thunnus thynnus,Native
Eastern Galapagos Islands,Chanos chanos,Native
Eastern Galapagos Islands,Mugil cephalus,Native
Eastern India,Chanos chanos,Native
Eastern India,Lates calcarifer,Native
Eastern India,Mugil cephalus,Native
Eastern India,Rachycentron canadum,Native
Eastern India,Trachinotus blochii,Native
Eastern Philippines,Chanos chanos,Native
Eastern Philippines,Lates calcarifer,Native
Eastern Philippines,Paralichthys olivaceus,Native
Eastern Philippines,Rachycentron canadum,Native
Eastern Philippines,Thunnus orientalis,Native
Eastern Philippines,Trachinotus blochii,Native
Exmouth to Broome,Chanos chanos,Native
Exmouth to Broome,Lates calcarifer,Native
