Species,DISEASE,AGENT,TYPE,Source,Source_1,souce,Soure,type
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C8,Bacteria
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas sobria,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C9,Bacteria
Mugil cephalus,Epizootic ulcerativesyndrome,Aphanomyces invadans,Fungi,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C12,Fungi
Mugil cephalus,Sealice,Argulus scutiformis,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,NA,Benedenia epinepheli,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,NA,Benedenia monticelli,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,Sealice,Caligus sp.,Copepoda,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C11,Parasites
Mugil cephalus,Columnaris ,Flavobacterium columnare,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C8,Bacteria
Mugil cephalus,Sealice,Gnathia piscivora,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,Lymphocystis,Iridovirus,Virus,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C5,Virus
Mugil cephalus,Sealice,Lernanthropsis mugilii,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Mugil cephalus,NA,Metamicrocotyle mugilis,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,NA,Microcotyle mugilis,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,Gill myxobolosis,Myxobolus goensis,Myxozoa,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C10,Others
Mugil cephalus,NA,Neobenedinia melleni,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,Isopodiasis,Nerocila japonica,Isopoda,"Yamauchi, Takeo, and Kazuya Nagasawa. ""Redescription of the fish parasite Nerocila japonica Schioedte & Meinert, 1881 (Crustacea: Isopoda: Cymothoidae), with comments on previous records of N. acuminata in Japanese waters."" Systematic parasitology 81.2 (2012): 147-157.",NA,NA,NA,Parasites
Mugil cephalus,Sealice,Pseudocaligus fugu,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Mugil cephalus,Streptococcosis,Streptococcus faecalis,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C7,Bacteria
Mugil cephalus,Vibriosis,Vibrio anguillarum,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C6,Bacteria
Oncorhynchus kisutch,Furunculosis,Aeromonas salmonicida,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C7,"NA","NA","NA",Bacteria
Oncorhynchus kisutch,Sealice,Caligus elongatus,Copepoda,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C11,"NA","NA","NA",Parasites
Oncorhynchus kisutch,Infective Haematopoietic Necrosis,Infectious haematopoietic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,"NA","NA","NA",Virus
Oncorhynchus kisutch,Myxosporidiosis,Kudoa thyrsites,Myxozoa,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C9,"NA","NA","NA",Others
Oncorhynchus kisutch,Sealice,Lepeophtheirus salmonis,Copepoda,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C11,"NA","NA","NA",Parasites
Oncorhynchus kisutch,Myxosporidiosis,Parvicapsula sp.,Myxozoa,"Hoffman, G. L. ""Two fish pathogens, Parvicapsula sp. and Mitraspora cyprini (Myxosporea) new to North America."" Fish, pathogens and environment in European polyculture.(Proc. Internat. Seminar, 23-27 June 1981, Szarvas, Hungary. Symposia Biologica Hungarica Vol. 23).. Akadémiai Kiadó, 1984.",NA,NA,NA,Others
Oncorhynchus kisutch,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,https://www.cabi.org/ISC/datasheet/68868,"NA","NA","NA",Bacteria
Oncorhynchus kisutch,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,"NA","NA","NA",Bacteria
Oncorhynchus kisutch,Pancreatic disease,Salmon Alpha Virus,Virus,"NA","NA","NA","NA",Virus
Oncorhynchus kisutch,Infectious Salmon Anaemia,Salmon isavirus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,"NA","NA","NA",Virus
Oncorhynchus kisutch,Vibriosis,Vibrio anguillarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C12,"NA","NA","NA",Bacteria
Oncorhynchus kisutch,Vibriosis,Vibrio ordali,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C12,"NA","NA","NA",Bacteria
Oncorhynchus kisutch,Enteric redmouth disease,Yersinia ruckeri,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C6,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Bacterial haemorrhagic septicaemia,Aeromonas liquefaciens,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D10,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Furunculosis,Aeromonas salmonicida,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D9,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,NA,Aquatic birnavirus,Virus,"Crane, Mark St J., et al. ""First isolation of an aquatic birnavirus from farmed and wild fish species in Australia."" Diseases of Aquatic Organisms 43.1 (2000): 1-14.",NA,NA,NA,Virus
Oncorhynchus mykiss,Sealice,Caligus rogercresseyi,Copepoda,"NA","NA","NA","NA",Parasites
Oncorhynchus mykiss,Costiasis,Costia necatrix,Ciliophora,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D20,"NA","NA","NA",Others
Oncorhynchus mykiss,Trematodal parasite,Diplostomum spathaceum,Digenea,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D22,"NA","NA","NA",Parasites
Oncorhynchus mykiss,Edwardsiellosis,Edwardsiella tarda,Bacteria,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=491,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Flatworm infection,Gyrodactylus salaris,Monogenea,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=493,"NA","NA","NA",Parasites
Oncorhynchus mykiss,Hexamitaisis Octomitis,Hexamita truttae,Ciliophora,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D19,"NA","NA","NA",Others
Oncorhynchus mykiss,White spot,Ichthyophthirius multifilis,Ciliophora,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D17,"NA","NA","NA",Others
Oncorhynchus mykiss,Infective Haematopoietic Necrosis,Infectious haematopoietic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,"NA","NA","NA",Virus
Oncorhynchus mykiss,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D14,"NA","NA","NA",Virus
Oncorhynchus mykiss,Bacterial gill disease,Myxobacterium,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D13,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Whirling disease,Myxobolus cerebralis,Myxozoa,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D18,"NA","NA","NA",Others
Oncorhynchus mykiss,Oncorhynchus Masou Virus Disease,Oncorhynchus masou virus,Virus,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=495,"NA","NA","NA",Virus
Oncorhynchus mykiss,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=496,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Pancreatic disease,Salmon Alpha Virus,Virus,"NA","NA","NA","NA",Virus
Oncorhynchus mykiss,Infectious Salmon Anaemia,Salmon isavirus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,"NA","NA","NA",Virus
Oncorhynchus mykiss,Vibriosis,Vibrio anguillarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D11,"NA","NA","NA",Bacteria
Oncorhynchus mykiss,Viral Haemorrhagic Septicaemia,Viral hemorrhagic septicemia virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D16,"NA","NA","NA",Virus
Oncorhynchus mykiss,Enteric redmouth disease,Yersinia ruckeri,Bacteria,https://en.wikipedia.org/wiki/Enteric_redmouth_disease,"NA","NA","NA",Bacteria
Oncorhynchus tshawytscha,Columnaris ,Flavobacterium sp.,Bacteria,"Loch, T. P., and M. Faisal. ""Flavobacteria colonizing the early life stages of hatchery‐incubated Chinook salmon Oncorhynchus tshawytscha (Walbaum 1792) are markedly diverse."" Journal of fish diseases 41.5 (2018): 829-845.",NA,NA,NA,Bacteria
Oncorhynchus tshawytscha,"NA",Aquatic birnavirus,Virus,"NA","NA","NA","NA",Virus
Oncorhynchus tshawytscha,Sealice,Caligus longicaudatus,Copepoda,"NA","NA","NA","NA",Parasites
Oncorhynchus tshawytscha,NA,Ceratomyxa shasta,Myxozoa,"Atkinson, Stephen D., and Jerri L. Bartholomew. ""Disparate infection patterns of Ceratomyxa shasta (Myxozoa) in rainbow trout (Oncorhynchus mykiss) and Chinook salmon (Oncorhynchus tshawytscha) correlate with internal transcribed spacer-1 sequence variation in the parasite."" International journal for parasitology 40.5 (2010): 599-604.",NA,NA,NA,Others
Oncorhynchus tshawytscha,NA,Chryseobacterium sp.,Bacteria,"Loch, T. P., and M. Faisal. ""Flavobacteria colonizing the early life stages of hatchery‐incubated Chinook salmon Oncorhynchus tshawytscha (Walbaum 1792) are markedly diverse."" Journal of fish diseases 41.5 (2018): 829-845.",NA,NA,NA,Bacteria
Oncorhynchus tshawytscha,Bacterial Kidney Disease (BKD),Corynebacterium sp.,Bacteria,"Hendricks, Jerry D., and Steve L. Leek. ""Kidney disease postorbital lesions in spring chinook salmon (Oncorhynchus tshawytscha)."" Transactions of the American Fisheries Society104.4 (1975): 805-807.",NA,NA,NA,Bacteria
Oncorhynchus tshawytscha,NA,Cryptobia salmositica,Ciliophora,"BOWER, SUSAN M., and L. Margolis. ""Effects of temperature and salinity on the course of infection with the haemoflagellate Cryptobia salmositica in juvenile Pacific salmon, Oncorhynchus spp."" Journal of Fish Diseases 8.1 (1985): 25-33.",NA,NA,NA,Others
Oncorhynchus tshawytscha,Infective Haematopoietic Necrosis,Infectious haematopoietic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,"NA","NA","NA",Virus
Oncorhynchus tshawytscha,Whirling disease,Myxobolus cerebralis,Myxozoa,"Chiaramonte, Luciano V., et al. ""Comparison of Sampling and Detection Methods for Chinook Salmon and Steelhead Naturally Infected with Myxobolus cerebralis."" Journal of aquatic animal health 30.1 (2018): 57-64.",NA,NA,NA,Others
Oncorhynchus tshawytscha,Amoebic gill disease,Neoparamoeba perurans,Amoebozoa,"NA","NA","NA","NA",Others
Oncorhynchus tshawytscha,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,https://www.cabi.org/ISC/datasheet/68868,"NA","NA","NA",Bacteria
Oncorhynchus tshawytscha,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,"NA","NA","NA",Bacteria
Oncorhynchus tshawytscha,NA,RLO,Bacteria,"Brosnahan, Cara L., et al. ""New Zealand rickettsia‐like organism (NZ‐RLO) and Tenacibaculum maritimum: Distribution and phylogeny in farmed Chinook salmon (Oncorhynchus tshawytscha)."" Journal of fish diseases 42.1 (2019): 85-95.",NA,NA,NA,Bacteria
Oncorhynchus tshawytscha,Infectious Salmon Anaemia,Salmon isavirus,Virus,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,"NA","NA","NA",Virus
Oncorhynchus tshawytscha,NA,Tenacibaculum maritimum,Bacteria,"Brosnahan, Cara L., et al. ""New Zealand rickettsia‐like organism (NZ‐RLO) and Tenacibaculum maritimum: Distribution and phylogeny in farmed Chinook salmon (Oncorhynchus tshawytscha)."" Journal of fish diseases 42.1 (2019): 85-95.",NA,NA,NA,Bacteria
Pagrus auratus,Furunculosis,Aeromonas salmonicida,Bacteria,"Kusuda, R., & Salati, F. (1993). Major bacterial diseases affecting mariculture in Japan. Annual Review of Fish Diseases, 3, 69–85.doi:10.1016/0959-8030(93)90029-",NA,NA,NA,Bacteria
Pagrus auratus,Sealice,Allela macrotrachelus,Copepoda,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Parasites
Pagrus auratus,NA,Benedenia epinepheli,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Pagrus auratus,Flatworm infection,Bivagina pagrosomi,Monogenea,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Flatworm infection,Bivagina tai,Monogenea,"Paperna, Ilan. ""Diseases caused by parasites in the aquaculture of warm water fish."" Annual Review of Fish Diseases 1 (1991): 155-194.",NA,NA,NA,Parasites
Pagrus auratus,Epitheliocystis,Chlamydia,Bacteria,https://www.fishbase.de/summary/Pagrus-major.html,"NA","NA","NA",Bacteria
Pagrus auratus,Flatworm infection,Choricotyle australensis,Monogenea,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,NA,Choricotyle elongata,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Pagrus auratus,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Others
Pagrus auratus,Nematode infestation,Cucullanus sp.,Nematoda,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Nematode infestation,Dichelyne jialaris,Nematoda,"Moravec, František, Kazuya Nagasawa, and Ione Madinabeitia. ""Redescription of Dichelyne (Cucullanellus) jialaris (Nematoda: Cucullanidae), a parasite of seabreams (Perciformes: Sparidae) in East Asia."" Acta parasitologica63.4 (2018): 802-807.",NA,NA,NA,Parasites
Pagrus auratus,Blood fluke infections,Diptherostomum sp.,Digenea,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Edwardsiellosis,Edwardsiella tarda,Bacteria,https://www.fishbase.de/summary/Pagrus-major.html,"NA","NA","NA",Bacteria
Pagrus auratus,Myxobacteriosis,Flexibacter maritimus,Bacteria,https://www.fishbase.de/summary/Pagrus-major.html,"NA","NA","NA",Bacteria
Pagrus auratus,NA,Heterobothrium okamotoi,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Pagrus auratus,Streptococcicosis,Lactococcus garvieae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Flatworm infection,Lamellodiscus pagrosomus,Monogenea,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Sealice,Lernanthropsis mugilii,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Pagrus auratus,Lymphocystis disease,Lymphocystis disease virus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Pagrus auratus,Sealice,Naricolax chrysophryenus,Copepoda,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Scolex infestation,Phyllobothriidae,Cestoda,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Viral nervous necrosis,Piscine nodavirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Pagrus auratus,Blood fluke infections,Proctoeces sp.,Digenea,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.","NA","NA","NA",Parasites
Pagrus auratus,Pseudomonas infection,Pseudomonas sp.,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Lymphocystis,Red seabream Iridovirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Pagrus auratus,Scuticociliatosis,Scuticociliatida,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Pagrus auratus,Mycotic Disease,Scytalidium infestans,Fungi,"Mycotic Disease of Juvenile Red Sea Bream, Pagrus major, Caused by Scytalidium infestans","NA","NA","NA",Fungi
Pagrus auratus,Streptococcosis,Streptococcus iniae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Streptococcosis,Streptococcus parauberis,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Trichodinosis,Trichodina sp.,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Pagrus auratus,Vibriosis,Vibrio anguillarum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus auratus,Vibriosis,Vibrio harveyi,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Pagrus pagrus,Nematode infestation,Anisakis simplex,Nematoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Anoplodiscus longivaginatus,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Sealice,Clavellotis pagri,Copepoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Nematode infestation,Contracaecum sp.,Nematoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Acanthocephala infection,Corynosoma australe,Acanthocephala,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Nematode infestation,Cucullanus sp.,Nematoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Isopodiasis,Cymothoid,Isopoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Isopodiasis,Cymothoidae,Isopoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Nematode infestation,Dujardinnascaris mujibii ,Nematoda,"Morsy, Kareem, et al. ""New host and locality records of two nematode parasites Dujardinnascaris mujibii (Heterocheilidae) and Hysterothylacium aduncum (Anisakidae) from the common seabream Pagrus pagrus: a light and scanning electron microscopic study."" Parasitology research 112.2 (2013): 807-815.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Echinopelma brasiliensis,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Encotyllabe spari,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Sealice,Ergasilus sp.,Copepoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Nematode infestation,Hysterothylacium aduncum,Nematoda,"Morsy, Kareem, et al. ""New host and locality records of two nematode parasites Dujardinnascaris mujibii (Heterocheilidae) and Hysterothylacium aduncum (Anisakidae) from the common seabream Pagrus pagrus: a light and scanning electron microscopic study."" Parasitology research 112.2 (2013): 807-815.",NA,NA,NA,Parasites
Pagrus pagrus,Myxosporidiosis,Kudoa pagrusi,Myxozoa,"Abdel-Ghaffar, Fathy, et al. ""Ultrastructure and host parasite relationships of Kudoa pagrusi (Myxozoa) infecting the heart muscles of sea bream Pagrus pagrus (L.) from the Red Sea."" Parasitology research 106.1 (2009): 121-129.",NA,NA,NA,Others
Pagrus pagrus,NA,Lamellodiscus baeri,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Lecithochirium sp.,Digenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,Sealice,Lernanthropus caudatus,Copepoda,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Parahemiurus merus,Digenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Pleistophora pagri,Microsporidia,"Morsy, Kareem, et al. ""Ultrastructure and molecular phylogenetics of a new isolate of Pleistophora pagri sp. nov.(Microsporidia, Pleistophoridae) from Pagrus pagrus in Egypt."" Parasitology research 111.4 (2012): 1587-1597.",NA,NA,NA,Others
Pagrus pagrus,NA,Polyabroides multispinosus,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
Pagrus pagrus,NA,Pseudempleurosoma sp.,Monogenea,"Soares, I. A., and J. L. Luque. ""Seasonal variability of the composition and structure of parasite communities of red porgy, Pagrus pagrus (Perciformes: Sparidae) off Brazil."" Helminthologia 52.3 (2015): 236-243.",NA,NA,NA,Parasites
