Species,DISEASE,AGENT,TYPE,Source,Source_1,souce,Soure,type
Hippoglossus hippoglossus,Myxobacteriosis,Flexibacter ovolyticus,Bacteria,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Bacteria
Hippoglossus hippoglossus,Sealice,Hatschekia hippoglossi,Copepoda,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Parasites
Hippoglossus hippoglossus,NA,Hemiurus luehei,Digenea,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Parasites
Hippoglossus hippoglossus,Nematode infestation,Hysterothylacium aduncum,Nematoda,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Parasites
Hippoglossus hippoglossus,NA,Ichthyobodo sp.,Ciliophora,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Others
Hippoglossus hippoglossus,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Virus
Hippoglossus hippoglossus,Sealice,Lepeophtheirus hippoglossi,Copepoda,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Parasites
Hippoglossus hippoglossus,Viral encephalopathy and retinopathy ,Piscine nodavirus,Virus,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Virus
Hippoglossus hippoglossus,Trichodinosis,Trichodina hippoglossi,Microsporidia,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Others
Hippoglossus hippoglossus,Vibriosis,Vibrio anguillarum,Bacteria,"Bergh, Øivind, Frank Nilsen, and Ole B. Samuelsen. ""Diseases, prophylaxis and treatment of the Atlantic halibut Hippoglossus hippoglossus: a review."" Diseases of Aquatic Organisms 48.1 (2001): 57-74.",NA,NA,NA,Bacteria
Larimichthys crocea,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,"Cao J, Feng XZ, Feng ZB, Chang Y, Lei XU. Isolation and Identification of Aeromonas Hydrophila from Large Yellow Croaker. Hubei Agr Sci. 2007; 46(5):808–10. [Abstract in English]",NA,NA,NA,Bacteria
Larimichthys crocea,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,"Yin, Fei, et al. ""Antiparasitic effect of copper alloy surface on Cryptocaryon irritans in aquaculture of Larimichthys crocea."" Appl. Environ. Microbiol. 85.3 (2019): e01982-18.","NA","NA","NA",Others
Larimichthys crocea,Lymphocystis,Iridovirus,Virus,"Chen, X.H., Lin, K.B., Wang, X.W., 2003. Outbreaks of an iridovirus disease in maricultured large yellow croaker, Larimichthys crocea (Richardson), in China. 26, 615-619.","NA","NA","NA",Virus
Larimichthys crocea,Nocardiosis,Nocardia seriolae,Bacteria,"Wang, G‐L., S‐P. Yuan, and S. Jin. ""Nocardiosis in large yellow croaker, Larimichthys crocea (Richardson)."" Journal of fish diseases 28.6 (2005): 339-345.",NA,NA,NA,Bacteria
Larimichthys crocea,Pseudomonas infection,Pseudomonas plecoglossicida,Bacteria,"J. Zhang, S. Zhou, S. An, L. Chen, G.WangVisceral granulomas in farmed large yellow croaker, Larimichthys crocea(Richardson), caused by a bacterial pathogen, Pseudomonas plecoglossicida","NA","NA","NA",Bacteria
Larimichthys crocea,Vibriosis,Vibrio alginolyticus,Bacteria,"J. Fish Dis., 37 (2013), pp. 113-121","NA","NA","NA",Bacteria
Larimichthys crocea,Vibriosis,Vibrio anguillarum,Bacteria,"NA","NA","NA","NA",Bacteria
Larimichthys crocea,Vibriosis,Vibrio harveyi,Bacteria,"Liu, Lu, et al. ""Investigation of Vibrio alginolyticus, V. harveyi, and V. parahaemolyticus in large yellow croaker, Pseudosciaena crocea (Richardson) reared in Xiangshan Bay, China."" Aquaculture Reports 3 (2016): 220-224.","NA","NA","NA",Bacteria
Larimichthys crocea,Vibriosis,Vibrio parahaemolyticus,Bacteria,"Zhang X, Mu Y, Mu P, Ao J, Chen X (2017) Transcriptome Analysis Reveals Comprehensive Insights into the Early Immune Response of Large Yellow Croaker (Larimichthys crocea) Induced by Trivalent Bacterial Vaccine. PLoS ONE 12(1): e0170958. doi:10.1371/journal. pone.0170958",NA,NA,NA,Bacteria
Lateolabrax japonicus,Sealice,Allela macrotrachelus,Copepoda,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Parasites
Lateolabrax japonicus,Edwardsiellosis,Edwardsiella tarda,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Trematode infection,Hysterothylacium fabri ,Trematoda,"Li, Liang, Zhen Xu, and L. P. Zhang. ""Redescription of three species of Hysterothylacium (Nematoda: Anisakidae) from marine fishes from the Yellow Sea, China, with the synonymy of Hysterothylacium muraenesoxin (Luo, 1999)."" Zootaxa1878 (2008): 55-67.",NA,NA,NA,Parasites
Lateolabrax japonicus,Lymphocystis,Iridovirus,Virus,"Kihara, H., 1991. Iridovirus infectious disease of yellowtail, Seriola quinqueradiata. J. Yoshoku, disease leaflet no. 164.","NA","NA","NA",Virus
Lateolabrax japonicus,Myxosporidiosis,Kudoa iwatai ,Myxozoa,"Matsukane, Yuuki, et al. ""Kudoa iwatai and two novel Kudoa spp., K. trachuri n. sp. and K. thunni n. sp.(Myxosporea: Multivalvulida), from daily consumed marine fish in western Japan."" Parasitology research 108.4 (2011): 913-926.",NA,NA,NA,Others
Lateolabrax japonicus,Streptococcosis,Lactococcus garvieae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Lymphocystis disease,Lymphocystis disease virus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Lateolabrax japonicus,Isopodiasis,Nerocila japonica,Isopoda,"Yamauchi, Takeo, and Kazuya Nagasawa. ""Redescription of the fish parasite Nerocila japonica Schioedte & Meinert, 1881 (Crustacea: Isopoda: Cymothoidae), with comments on previous records of N. acuminata in Japanese waters."" Systematic parasitology 81.2 (2012): 147-157.",NA,NA,NA,Parasites
Lateolabrax japonicus,Nocardiosis,Nocardia asteroides,Bacteria,http://www.fao.org/fi/static-media/MeetingDocuments/WorkshopAMR/presentations/07_Haenen.pdf,NA,NA,NA,Bacteria
Lateolabrax japonicus,Nocardiosis,Nocardia seriolae,Bacteria,https://www.fishbase.se/summary/4589,"NA","NA","NA",Bacteria
Lateolabrax japonicus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Viral nervous necrosis,Piscine nodavirus,Virus,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Virus
Lateolabrax japonicus,Pseudomonas infection,Pseudomonas sp.,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Scuticociliatosis,Scuticociliatida,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Lateolabrax japonicus,Streptococcosis,Streptococcus iniae,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Streptococcosis,Streptococcus parauberis,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Trichodinosis,Trichodina sp.,Ciliophora,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Others
Lateolabrax japonicus,Vibriosis,Vibrio anguillarum,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Vibriosis,Vibrio harveyi,Bacteria,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.","NA","NA","NA",Bacteria
Lateolabrax japonicus,Vibriosis,Vibrio ponticus ,Bacteria,https://www.fishbase.se/summary/4590,"NA","NA","NA",Bacteria
Lates calcarifer,Acanthocephala infection,Serrasentis sagittifer,Acanthocephala,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas caviae,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas sobria,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Epitheliocystis,Chlamydia,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Bacterial gill disease,Cytophaga sp.,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Columnaris ,Flavobacterium columnare,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Pseudomonas infection,Pseudomonas sp.,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Streptococcosis,Streptococcus iniae,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Bacterial enteritis,Various Gram-negative bacteria,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,Vibriosis,Vibrio anguillarum,Bacteria,"Kumaran, S., et al. ""Infection and immunization trials of Asian seabass (Lates calcarifer) against fish pathogen Vibrio anguillarum."" Journal of environmental biology 31.4 (2010): 539-541.","NA","NA","NA",Bacteria
Lates calcarifer,Vibriosis,Vibrio harveyi,Bacteria,"NA","NA","NA","NA",Bacteria
Lates calcarifer,NA,Nybelinia indica,Cestoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,NA,Parotobothrium balli,Cestoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,NA,Scolex pleuronectis,Cestoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Chilodonelliasis,Chilodonella hexasticha,Ciliophora,"NA","NA","NA","NA",Others
Lates calcarifer,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,"NA","NA","NA","NA",Others
Lates calcarifer,Red sore disease,Epistylis sp.,Ciliophora,"NA","NA","NA","NA",Others
Lates calcarifer,Ichthyobodosis (costiasis),Ichthyobodo necator,Ciliophora,"NA","NA","NA","NA",Others
Lates calcarifer,Microsporidiosis,Pleistophora sp.,Ciliophora,"NA","NA","NA","NA",Others
Lates calcarifer,Trichodinosis,Trichodina sp.,Ciliophora,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.","NA","NA","NA",Others
Lates calcarifer,Sealice,Aega sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Argulus sp.,Copepoda,"NA","NA","NA","NA",Parasites
Lates calcarifer,Sealice,Epinephelus coicoides,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Gnathia sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Jassa sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Lemathropus latis,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Lembos sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Lernaea cyprinacea,Copepoda,"NA","NA","NA","NA",Parasites
Lates calcarifer,Sealice,Lernanthropus latis,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Microjassa sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Nerocila sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Sealice,Stenothole sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,NA,Prosorhynchus,Digenea,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,NA,Pseudometadena celebensis,Digenea,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,NA,Sanguinicolidae,Digenea,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,"NA","NA","NA","NA",Others
Lates calcarifer,Piscinoodiniasis,Piscinoodinium sp.,Dinoflagellate,"NA","NA","NA","NA",Others
Lates calcarifer,Integumentary mycosis,Achlya sp.,Fungi,"NA","NA","NA","NA",Fungi
Lates calcarifer,Integumentary mycosis,Saprolegnia sp.,Fungi,"NA","NA","NA","NA",Fungi
Lates calcarifer,Flatworm infection,Benedenia epinepheli,Monogenea,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Flatworm infection,Benedenia lutjani,Monogenea,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Lates calcarifer,Flatworm infection,Dactylogyrus sp.,Monogenea,"NA","NA","NA","NA",Parasites
Lates calcarifer,Flatworm infection,Diplectanum sp.,Monogenea,"NA","NA","NA","NA",Parasites
Lates calcarifer,Flatworm infection,Gyrodactylus sp.,Monogenea,"NA","NA","NA","NA",Parasites
Lates calcarifer,Flatworm infection,Neobenedinia melleni,Monogenea,"NA","NA","NA","NA",Parasites
Lates calcarifer,NA,Pseudorhabdosynochus sp. ,Monogenea,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Myxosporidiosis,Henneguya sp.,Myxozoa,"NA","NA","NA","NA",Others
Lates calcarifer,Myxosporidiosis,Kudoa sp.,Myxozoa,"NA","NA","NA","NA",Others
Lates calcarifer,Nematode infestation,Hysterothylacium cornutum,Nematoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Nematode infestation,Raphidascaris sp.,Nematoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Nematode infestation,Terranova sp. ,Nematoda,"Rückert, S., H. W. Palm, and S. Klimpel. ""Parasite fauna of seabass (Lates calcarifer) under mariculture conditions in Lampung Bay, Indonesia."" Journal of Applied Ichthyology 24.3 (2008): 321-327.",NA,NA,NA,Parasites
Lates calcarifer,Lymphocystis,Lymphocystis disease virus,Virus,"NA","NA","NA","NA",Virus
Lates calcarifer,Viral nervous necrosis,Piscine nodavirus,Virus,"NA","NA","NA","NA",Virus
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas caviae,Bacteria,"NA","NA","NA",http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C9,Bacteria
