ECOREGION,n_total,n_introduced,n_native,prod_total,genetic_score,key,value,ECO_CODE,PROV_CODE,PROVINCE,RLM_CODE,REALM,ALT_CODE,ECO_CODE_X,Lat_Zone,geometry
Adriatic Sea,6,1,5,10726.520405117,20.152074683531396,A. Native,10.724435530117,20030,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,30,Temperate,"list(list(c(20.4694976350383, 20.9600811555933, 20.9051957443851, 19.6813570516298, 19.5591810252081, 19.3890383111692, 19.2947017964119, 18.4657869198655, 18.2899674018912, 18.1141471275872, 17.4413343439639, 16.8118016155631, 16.2818894629315, 15.9867283522448, 12.6753115173421, 11.5285606324039, 11.503065477902, 12.2097338310721, 14.3604638670855, 16.8099609443874, 20.4694976350383, 43.0532919887788, 40.5246127948935, 40.4942752706025, 40.5205126283806, 40.5354606384442, 40.5732850204277, 40.5908935829841, 
40.1929639105961, 40.2822221849797, 40.3614897299611, 40.6437115229941, 40.7718378353816, 40.6929222086001, 40.6483085694248, 42.8542925660085, 44.0038633309276, 45.5193664453139, 47.0248775082948, 47.1170516742791, 45.5539753697302, 43.0532919887788)))"
Aegean Sea,6,1,5,189665.0757387,26.389039013046478,A. Native,189.58567181083998,25031,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,31,Temperate,"list(list(c(26.8098348957352, 29.1919638686403, 30.1998700613417, 30.8619863896874, 32.0564624214329, 30.411239155904, 30.1062778281938, 30.1062776393362, 28.9474243287374, 27.3006329306746, 25.5928491537551, 23.1512556790747, 22.8142667887405, 22.7402305748224, 22.6894844524341, 22.5320652187621, 22.5926733595837, 22.6848862719583, 22.8078366308351, 22.8232055433934, 22.6695175482575, 22.5773046367823, 22.5004604499071, 22.5376229515614, 22.6533251615905, 22.8821455713531, 22.9887003696293, 23.1611466161072, 
23.4373859912975, 23.4499887008096, 22.9290455434336, 21.9568722577132, 21.684183057857, 20.9051957443851, 20.9600811555933, 23.4581192914121, 26.8098348957352, 41.8777817314303, 41.0338084674303, 40.9243341865606, 40.5005799326154, 39.2573494620138, 38.1739096086725, 36.7100949685649, 35.2462803311553, 34.0874270205565, 34.0874270205565, 34.0874270205565, 34.2096674950928, 34.2549715509846, 34.2649250475554, 34.595015437353, 35.6708179899161, 35.8905146140148, 36.3208411538196, 36.6589547830484, 
36.9509620514181, 37.104650046554, 37.4273949511827, 37.6886647712516, 37.8374841274019, 37.8427385161828, 37.8546009127937, 37.9489043522854, 38.0081127604216, 38.1412250823129, 38.2740762060133, 38.4786361980446, 38.7999017997735, 39.5783413919553, 40.4942752706025, 40.5246127948935, 42.5043615233574, 41.8777817314303)))"
Alboran Sea,4,0,4,13108.81465,16.47038620625652,A. Native,13.108814650000001,25036,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,36,Temperate,"list(list(c(0.321792593993393, 0.230321319221446, -0.138358523796512, -0.225743240596501, -0.468519978020936, -0.555931154673658, -0.607177370257375, -0.684832556745391, -1.08986069032596, -1.16180732141504, -1.25871990455511, -1.35589160935149, -1.5562822617174, -1.61884088363246, -1.69564670363127, -1.7862281667044, -1.99963524819219, -2.10188746055309, -2.26028911720726, -2.44816078694191, -2.50690047473171, -2.58549688086373, -2.65211352166551, -2.74594427300201, -2.85802051733305, -3.15585484386611, 
-3.26124294537846, -3.4386281389389, -3.53843525927806, -3.71392478272486, -3.90196636406847, -3.9920033173305, -4.09987620244232, -4.37276158400329, -5.55696811000735, -5.62128499911984, -5.41001040441705, -5.46199088496144, -5.61237402722236, -5.75855532112507, -5.47279582635468, -4.55683624328515, -3.47806960355456, -2.55199058281204, -2.10608023655067, -1.50055712295352, -0.952349204326708, -0.870320180437659, -0.754161536599725, -0.615610928961701, -0.444203805021857, -0.240476547418098, -0.0604648200192059, 
-0.0244625876741225, 0.0475418761167248, 0.0835442973194063, 0.26355583496138, 0.335560489408465, 0.321792593993393, 32.4457227463703, 32.3891229171082, 32.2047012526227, 32.1643977590637, 32.0471603029086, 32.0061951196767, 31.9921843614483, 31.9684142091214, 31.8359098999684, 31.8251495631492, 31.7979832695667, 31.7719935014386, 31.7515610901932, 31.7377582309363, 31.7326308498083, 31.7225303122871, 31.7089644585591, 31.7063483208834, 31.7184110567648, 31.7322921624341, 31.7367769428986, 31.7285437252634, 
31.7348122875907, 31.7340717858318, 31.741670530876, 31.7622284389133, 31.7875578411705, 31.806287362771, 31.824758521743, 31.8387004854334, 31.8341212042101, 31.8195283247247, 31.7987112977291, 31.7659063791294, 34.1487686709083, 35.513022457424, 35.9199105400472, 36.1036965969973, 36.3927257919432, 36.5121295655795, 36.9674621294263, 38.4365729264271, 38.6985547082703, 38.5442082358398, 39.2808463202686, 38.4541431212078, 37.8197838996489, 37.6705338123135, 37.6187521592792, 37.4760029165606, 37.3623341581761, 
37.1580601235704, 36.7620348159414, 36.2940048547646, 35.6459635448035, 34.9619198154384, 34.0258598921856, 33.0177953171836, 32.4457227463703)))"
Andaman Sea Coral Coast,1,0,1,82.5771147,1.9220873740880808,A. Native,0.0825771147,20110,24,Andaman,5,Western Indo-Pacific,106,110,Tropical,"list(list(c(96.1967714746055, 96.6595450810834, 96.7726341283939, 99.344350134275, 99.3872121216658, 98.9585928188285, 98.9157310202954, 99.1300405777349, 99.6872456520879, 100.373036498856, 99.9678489631437, 99.817950704744, 99.2201089407181, 98.8922602468761, 98.5836965768589, 97.8315730250388, 97.8315729665829, 96.0439814830928, 95.8296715479381, 96.1967714746055, 14.209336400947, 14.620051545768, 14.6091074369887, 14.6091074369887, 12.2517011774047, 10.6658097366721, 9.50853741081846, 8.47985104623757, 
7.92264597188455, 6.80823563342159, 6.08955650090172, 5.82368274379672, 5.74654178874573, 5.5151191754029, 5.70797137687072, 6.59509156765449, 6.59509163870092, 7.66547442795371, 11.1372910269, 14.209336400947)))"
Azores Canaries Madeira,2,0,2,6783.591334,7.663047386604959,A. Native,6.783591334,20029,3,Lusitanian,2,Temperate Northern Atlantic,36,29,Temperate,"list(list(c(-16.3940839008651, -19.2088344402263, -19.2729800948271, -19.3949321558893, -19.9213701097105, -20.5137722767781, -20.5725157444184, -21.1677478090149, -21.1875005774218, -21.2419008241802, -21.2848238584496, -21.4014956365517, -21.5016478717196, -21.3809063556654, -21.3253910071472, -21.3306329223316, -21.0805804412623, -20.9632857189783, -20.8521389770246, -20.6825025938788, -20.6074316047453, -20.4308965331045, -20.3420763607496, -20.2836636430672, -20.1948217358974, -20.2559902631613, 
-20.3253292596643, -20.35395709004, -20.5106713541665, -20.5869252944102, -20.5355800418873, -20.3325258126085, -19.7520276223058, -19.6214025400625, -19.3656919663521, -19.254310108345, -19.1979372670637, -18.7663500972084, -18.4422623474085, -17.814919372821, -17.6169348799268, -17.4963800964009, -17.4201276679175, -16.8677366113274, -16.5100354011621, -16.3200034609876, -16.1372465090275, -15.7577947998819, -15.6094286660615, -15.1264123279448, -15.0115392622498, -14.6766577217505, -14.0615799024466, 
-13.9303997271706, -13.2083104851254, -13.1649510503448, -12.9672802976317, -12.95044153135, -12.9680440468651, -12.993518222882, -12.9257974439553, -12.237532775424, -12.2017004546879, -12.0404549160473, -12.2455433191261, -12.7212692033876, -13.2587543966411, -13.6529101162938, -14.2083113745873, -16.3940839008651, 26.3768552579179, 24.5097779343122, 24.5270663319309, 24.5828287026268, 24.8455712101828, 25.3164180278197, 25.4043338347474, 26.2460791651167, 26.324723954774, 26.4127299151378, 26.5324028252805, 
26.8917245220118, 27.7050470881125, 28.5964240065827, 28.7733593817471, 28.8823770381517, 30.0041050790281, 30.2568407925925, 30.4106968098617, 30.7113636797291, 30.8022815629856, 31.004905627652, 31.1108805736606, 31.1599270187824, 31.2414181491725, 31.3635907725596, 31.4858344612729, 31.5714675262883, 32.3912748706179, 32.7746292407696, 33.3572451761707, 34.0541042417554, 34.9765559738971, 35.1179638841043, 35.3550976482894, 35.4455290450928, 35.4881082883354, 35.73416814382, 35.9202488497062, 
36.0468777162712, 36.1414026641747, 36.1722744909718, 36.2193647856741, 36.3136035881936, 36.3841272364248, 36.4062702876723, 36.3866415033978, 36.3513710799648, 36.3296011151592, 36.180455354575, 36.1396600838514, 35.9749227700507, 35.5093806159941, 35.4217288419202, 34.3410457424486, 34.1230633484455, 33.1932742574087, 33.0439893941897, 32.9119906595998, 32.6296947804182, 32.6237709534058, 31.3575501443, 30.9992267453833, 30.5692387040951, 29.8164204026251, 29.2434422603937, 28.3118015363451, 27.8818133070985, 
27.3443283027026, 26.3768552579179)), list(c(-29.7224869363271, -29.014359124697, -28.7219657297161, -28.0346808383614, -27.9227210175624, -27.8085474409444, -27.4450737920399, -26.9917349900585, -26.6934308091339, -26.4743820773095, -26.3918561726034, -26.1801548154234, -26.0858141422011, -25.7910814946094, -25.7223421948137, -25.6182438299094, -25.3922962198332, -25.2171440608579, -25.128439178889, -24.8704239386944, -24.7786561223758, -24.593498493211, -24.2574714241898, -23.9873564041401, -23.8970229093315, 
-23.576333567978, -23.300322125956, -23.0268270301395, -22.7867879575753, -22.5398777913134, -22.2950957654131, -22.1457757476959, -22.0584666306037, -21.9437965508839, -21.9058699195829, -21.8205908528993, -21.8032329044128, -21.8111695814007, -21.6948909212393, -21.6834292058674, -21.6888952743696, -21.6889714424489, -21.6990024273037, -21.7971537186205, -21.8696667813945, -21.9119560994026, -21.9360235478074, -22.6590107278253, -23.0176491898258, -23.7441379736942, -24.1340602832822, -24.2840901844405, 
-24.4638720855982, -24.561365091176, -24.8621567006062, -25.0446679523919, -25.1674489680313, -25.4419814848686, -25.5463518209424, -25.6741677952841, -25.8472443567873, -26.4458644345668, -26.7907665655569, -27.5315486629441, -27.7784588301054, -27.8430639438344, -27.9211358752515, -28.0275978742861, -28.1037956806474, -28.2509747057917, -28.4661432677546, -28.6644426348749, -28.8145337717696, -28.919511931724, -29.0686325535595, -29.4662794817995, -29.7562241928665, -29.8599702618557, -29.9218178653852, 
-30.0336446296914, -30.1930022476762, -30.3875637617469, -30.6409244987257, -30.95504230965, -31.0311032805673, -31.0890092896414, -31.2012325749228, -31.2937206699458, -31.3761418692861, -31.6260051608793, -32.2281812739753, -32.5358647694285, -32.7314892191852, -33.1490106309748, -33.2740227908245, -33.5403056468226, -33.6184567689403, -33.7125630824391, -33.7795015896958, -33.9323663013793, -34.1613706081077, -34.3372782002855, -34.3680927600544, -34.4055854468926, -34.4314476389962, -34.5174987727427, 
-34.6155652022342, -34.5899031614427, -34.5695813137469, -34.5360011166054, -34.5089937727957, -34.3733218230277, -34.3482186542201, -34.2039653493669, -34.1295012398259, -34.0822994345879, -33.912691779385, -33.7415135347002, -33.4985336224429, -33.2328663397834, -32.4055889586804, -31.5759027731996, -31.1087161305714, -31.0235810804182, -29.7990848555558, -29.7224869363271, 42.7279481451087, 42.2396180719504, 42.3294312514084, 42.3996173454112, 42.3817808478879, 42.3921686666368, 42.3075853073811, 
42.2366677821814, 42.1183919607173, 42.010185869599, 41.9972809492141, 41.933081618578, 41.9119449923183, 41.8068734674488, 41.7707797587648, 41.7148478541752, 41.5575238766925, 41.4649843737243, 41.3940384982969, 41.2341598077323, 41.1303923816436, 41.0945439954187, 40.994169307551, 40.9345583295995, 40.9035802856762, 40.7517769979185, 40.5471361136692, 40.3811544241643, 40.1633975072811, 39.8873745359508, 39.4739823963322, 39.2423046840006, 39.0697701753608, 38.7355350153755, 38.6061499624129, 
37.9191442233142, 37.7392351238473, 37.619587161797, 37.0404452354494, 36.9193043619583, 36.8592369483993, 36.7613496908357, 36.6492607840506, 36.2226906188326, 35.7992648467553, 35.7307561268327, 35.6260367081214, 34.5422481489584, 34.2314200724064, 33.8168247586232, 33.7380380289701, 33.7037099592263, 33.6496242071801, 33.6381760985506, 33.5820890267366, 33.5656885513412, 33.5725834608849, 33.588690796869, 33.6149670880963, 33.6283369480778, 33.6473248332061, 33.8315493707995, 33.9982528516684, 
34.5564157786263, 34.8324387490574, 34.9410020499864, 35.0350947549442, 35.0294982757546, 35.0270573412986, 35.0060401629908, 35.0429838038374, 35.0507639888997, 35.0753407944161, 35.0889731736925, 35.1085770098746, 35.2290448541414, 35.3033942407683, 35.3534962507329, 35.3726729467226, 35.4054402547757, 35.5038659742098, 35.5955627261016, 35.7805215277562, 35.9844769091845, 35.9985434226808, 35.9923735177787, 35.9892697596048, 35.9898246637799, 35.9946738369402, 36.0429777010705, 36.1331180376951, 
36.2432163967918, 36.3739284191936, 36.6117253839126, 36.6836447979198, 36.9143623895564, 36.9677490302407, 37.0913729858141, 37.1404026100166, 37.381346424824, 37.6821616594438, 38.0392270741154, 38.1130094615852, 38.2098557071351, 38.2908429635801, 38.7977974743584, 39.4083787950318, 39.5464952702486, 39.8468856327663, 39.9843479789105, 40.2008688361204, 40.6241570164239, 40.7104100003019, 41.0214694139561, 41.1413489010669, 41.2375795732783, 41.4679533747874, 41.7568204075823, 42.0314205867111, 
42.275404466109, 42.7688180721512, 42.9925214960492, 43.0231194622012, 43.018014949933, 42.7566453383939, 42.7279481451087)))"
Bahamian,1,0,1,21.66666667,1.3553876580504407,A. Native,0.02166666667,20063,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,66,63,Tropical,"list(list(c(-66.5991803472987, -66.5279022110523, -66.425565703439, -66.3216879017589, -66.1458585559935, -66.0658633965378, -65.8535165689578, -65.8247002451814, -65.3701846011843, -65.2840808912734, -65.2840805477325, -65.1005384903387, -65.1488212293945, -65.1488844373441, -65.148884465223, -65.1488845101891, -65.2813444440952, -65.2813725560026, -65.8356916007428, -67.1130326022839, -67.253864783615, -67.450443529158, -67.8360537047287, -67.8360566383172, -67.8434237854558, -67.9500036046695, 
-67.9508765019196, -67.9567514705648, -67.9567770113105, -69.0421655515977, -69.0421735573624, -69.4293045251555, -69.8301096430353, -70.754728638745, -71.2532185956853, -71.2611731440006, -71.8483499452078, -71.858446318868, -71.8587205410405, -72.1376355899242, -72.4592425266314, -73.5847850562841, -73.5848645338685, -74.7907830912524, -74.7908886536722, -75.6431465423532, -75.8267270052942, -76.1702715116549, -76.1702764956976, -77.20293764871, -77.9602615940164, -77.9602701465689, -78.215864597121, 
-79.5908655193078, -79.5908882101019, -80.5395803550186, -80.5396045063118, -81.2052788206034, -81.2052806498244, -81.2052839233565, -81.4253093458844, -81.4270734730642, -81.4007028906201, -81.3984812144721, -81.3537713181621, -81.3483418979318, -81.2937201616474, -81.2937175302312, -81.2736423548769, -81.2339611211157, -81.2068844782484, -80.8802212482224, -80.7597674360773, -80.7327641688943, -80.7327536234442, -80.732751592775, -80.3661716334205, -80.3644546154266, -80.3644523509338, -80.024435217597, 
-80.0244335988174, -80.0244335340662, -79.9853586043314, -79.9853585197952, -79.947587573728, -79.8362621742585, -79.8267416023194, -79.8267414881055, -79.8267414845082, -79.8236849407408, -79.817556655563, -79.7869765256647, -79.7731065014414, -79.7386376266462, -79.7415295135432, -79.7415295153419, -79.8224108874097, -79.824533589571, -79.7927730050805, -77.5747754934094, -77.5010112497615, -77.253943552857, -76.7902215618366, -76.2024816474427, -76.0075568756208, -75.871944650728, -75.592545382582, 
-75.2462926587616, -74.8469985961446, -74.7827017403296, -74.6029084978218, -73.8808185003461, -73.802365545071, -73.7528513247902, -73.7152316311985, -73.6144755417574, -73.4720704641836, -73.1860936230637, -73.0473946497739, -72.5638220845793, -72.1895595606696, -72.1054105235921, -72.0102494015803, -71.9662286557413, -71.7978791736411, -71.7295794876344, -71.604133193565, -71.4599605929713, -71.3111191233916, -71.2301295997559, -71.1321622054049, -71.0165091370295, -70.9355060048529, -70.6780505827289, 
-70.6120436561827, -70.488157746988, -70.392799498084, -70.2154929277519, -70.0073801136818, -69.8752326366243, -69.8143746371633, -69.6554721309839, -69.5781803920041, -69.4576979949083, -68.4151645451111, -68.3287909783368, -68.2383437049023, -67.9712545752286, -67.6730396025528, -67.5225436277527, -67.0522991544273, -66.9986106796862, -66.8115794929378, -66.6983726506292, -66.5991803472987, 21.7852491912657, 21.77969731665, 21.7852603419595, 21.7845625543997, 21.7744977370501, 21.7695539426218, 
21.756430660553, 21.6424273372864, 19.8442696554222, 19.5036249733748, 19.5036236135999, 19.1516046887378, 18.7304635516457, 18.7299122231749, 18.7299120073376, 18.7299116709912, 18.7641644297096, 18.7641716989296, 18.8726255685554, 18.9208275619829, 18.8705299431817, 18.8003226737424, 18.6316199109694, 18.6316186276368, 18.6358283909282, 18.6967306397311, 18.7128426854646, 18.8212835302095, 18.8213050977504, 19.7378558942226, 19.7378626544263, 19.8929435806751, 20.0675085174388, 20.3167535898881, 
20.4132356315998, 20.4144086173227, 20.5009943206738, 20.5024831428974, 20.5025235800131, 20.5499185434352, 20.7187616921756, 20.3730589874131, 20.3730345762159, 21.0563887414219, 21.0564485598267, 21.394135615436, 21.4462691776769, 21.5438296629838, 21.543831928376, 22.0132276062817, 22.5008345651732, 22.5008387551146, 22.626052316334, 23.2996536488949, 23.2996584566705, 23.5006524884676, 23.5006576056099, 23.9328623749763, 23.9328635620814, 23.9328679507728, 24.2278001911977, 24.2301649090111, 
24.2330381070971, 24.2332801695138, 24.2381515208546, 24.2387430813957, 24.2446943737029, 24.2446946605866, 24.2462523951593, 24.2493314624469, 24.2514324756589, 24.27677992641, 24.2861265469856, 24.2882218665898, 24.2882226849728, 24.2882241769481, 24.5574794919025, 24.5587406525531, 24.5587435519673, 24.9940554762469, 24.9940575482848, 24.9940580339187, 25.286336598067, 25.2863368777562, 25.4107363376011, 25.7773890449132, 25.8087452636424, 25.808745639559, 25.8087457879471, 25.9275085886927, 26.1656247003169, 
26.2707353304062, 26.3184096538276, 26.9979576417913, 27.5841782406495, 27.5841785644054, 28.5154019463752, 28.5398415657119, 28.5633978907366, 30.2084516898209, 30.2408682146185, 30.2089738280972, 30.1491111712785, 29.9671555790984, 29.8410177351667, 29.7510456086339, 29.591552855823, 29.3960625957048, 29.0662405851845, 29.0147618993528, 28.8859005656747, 27.8052186002481, 27.4879456232046, 27.4417423046388, 27.393656546785, 27.2707007074398, 27.2423743882643, 27.1854896789643, 27.0928146625554, 
26.8302535950176, 26.5196266140659, 26.4634006257767, 26.3498834463216, 26.2938526954491, 26.1001620929255, 25.982311521279, 25.8212512034062, 25.5355846949363, 25.4111000342216, 25.2906146136052, 25.2166766793971, 25.1523565779063, 25.0919776922564, 24.9992172483487, 24.9813057185897, 24.9153645639601, 24.8739421896902, 24.7857606483913, 24.6572686204052, 24.5858613963741, 24.5486026924435, 24.52107767729, 24.4784825583156, 24.4382134629249, 23.7417401471355, 23.6500957465777, 23.540452501085, 23.1142915210953, 
22.6474386519457, 22.1444026779052, 21.8552436406434, 21.811115920449, 21.7936226473794, 21.7869885583114, 21.7852491912657)))"
Baltic Sea,4,2,2,2420.6166666669997,2.014357169282725,A. Native,0.009166666666999999,20024,2,Northern European Seas,2,Temperate Northern Atlantic,29,24,Temperate,"list(list(c(28.4920210790785, 28.6574026941607, 28.6680630506519, 28.6841204895518, 28.7310386063536, 28.741179023411, 28.7796972233469, 28.6883272527049, 28.6605213837783, 29.1681578063847, 29.3570398698153, 29.481573103812, 29.7799216995537, 29.8790486086828, 29.9902582878901, 30.2397755212658, 30.6267592583515, 30.8680521557964, 30.9512153686559, 31.0137896774452, 31.1278434283959, 31.2722331918773, 31.4737848707816, 31.9083752510107, 31.9784018295672, 32.9375647332071, 32.3460748698822, 31.7545850056581, 
27.2198290046226, 21.107766699589, 16.1786843127606, 12.0378587431157, 11.9639266679907, 12.0008926111244, 12.4444848721176, 13.4425676012204, 14.1079562764464, 14.4036843871896, 14.3667184440558, 17.1362456299862, 19.9539736752989, 22.76789242542, 25.4990484541635, 28.4920210790785, 66.4758837564304, 65.8392177900542, 65.7746856293282, 65.4956435727916, 65.3095082456827, 65.1193733007602, 64.9257291931856, 64.1508840031966, 64.0321061972629, 63.9971249427347, 63.9456816002588, 63.9307538132496, 
63.8349361052175, 63.8057919273001, 63.7655113026009, 63.6478914987858, 63.3654527344207, 63.287421060255, 63.2593445430616, 63.2437584694142, 63.1988533923448, 63.1301345035619, 63.0380251652061, 62.8286991603225, 62.7756234242569, 60.3036859987304, 58.9235429834065, 57.5433997783256, 55.9660934752268, 52.6143173905979, 52.0228275272731, 51.5080187425857, 55.3155193758563, 55.6112474865994, 55.980907673367, 56.0918056907264, 56.9420244584368, 58.8272915206684, 63.411077901337, 65.343817416174, 67.3101938277086, 
67.8343548978011, 67.5860680556719, 66.4758837564304)))"
Banda Sea,2,1,1,314.70078573,1.3845428533643267,A. Native,0.02324057143,20131,30,Western Coral Triangle,6,Central Indo-Pacific,120,131,Tropical,"list(list(c(125.443117829846, 125.713290076454, 125.713294841961, 125.908070753504, 125.908073517121, 125.908074967728, 126.081710840983, 126.212929865172, 126.212936376264, 126.212940355764, 126.418540971302, 126.638807293423, 126.638809319595, 126.638810899704, 126.912230289693, 126.912231462409, 126.912233882484, 127.107446798883, 127.107452207406, 127.107473718289, 127.211837663781, 127.59090217882, 127.590904190603, 127.590907955165, 127.975757418513, 127.975769237403, 127.975812865314, 128.361038177821, 
128.361064175422, 128.746246259317, 129.056625272005, 131.045139443176, 132.002547940408, 133.601928607235, 133.601928596443, 133.580207971142, 133.259267071431, 132.675737509384, 132.655480036958, 132.123264309619, 131.537740310317, 131.100838521386, 130.324060486908, 129.766373694307, 129.515616029654, 128.994975204559, 128.5345160348, 128.236190375367, 127.94435005624, 127.666035285025, 127.40651392145, 127.382555126435, 127.382555126435, 127.382555126435, 127.500485386107, 127.500485439167, 127.867286780129, 
127.917891355525, 128.007941573787, 128.014029608009, 128.014029639485, 128.014029641284, 127.992377045197, 127.930988900796, 127.930988520383, 127.610288408749, 127.610286260268, 127.378925050835, 127.378912718432, 127.225087791625, 127.225035393526, 126.862739732373, 126.862711996383, 126.424202086564, 125.87423830103, 125.874221727425, 125.874195697448, 125.433927527626, 125.433921656852, 125.433914672717, 124.993870125614, 124.99382797529, 124.265900256389, 123.115335428563, 122.926389525859, 
122.892835746302, 122.685680784837, 122.279043127426, 121.880078113249, 121.672923150885, 121.508292297027, 121.396716472346, 121.247400043823, 121.247263165211, 120.951716917167, 120.742350301599, 120.665615898561, 120.167930515578, 120.167913352017, 119.783149762232, 119.673176746143, 119.67315686573, 119.673156868428, 119.75842490043, 119.835003247714, 120.116363566685, 120.429290677041, 120.633514248889, 121.005450751014, 121.194073128913, 121.796921137188, 122.098344952018, 122.993482971912, 
123.205866996351, 123.339878391159, 123.451031459843, 123.769878338572, 124.115570112075, 124.297307391134, 124.297317616426, 124.297320262231, 124.373718219005, 124.426193313176, 124.458019651597, 124.458023181436, 124.458024563694, 124.479774624704, 124.475650963403, 124.474768125047, 124.474596046972, 124.474464290898, 124.484110375817, 124.586909639473, 124.586910158382, 124.586910597251, 124.652927000853, 124.698567293466, 124.742189784437, 124.897468971623, 125.016211623059, 125.075457037397, 
125.092185468557, 125.171490621387, 125.28109947141, 125.36330596481, 125.443117829846, 1.20326656498537, 0.466762809590136, 0.466749819782763, -0.106491331873997, -0.106499465342438, -0.106503341420421, -0.570384656331612, -0.873377067746105, -0.873392102611774, -0.873399635333101, -1.26252665916212, -1.57825675933213, -1.57825966414231, -1.57826122176806, -1.84791671434118, -1.84791787086931, -1.8479191200276, -1.94868024027613, -1.94868303177168, -1.94869021915338, -1.9835593911771, -2.04915054765934, 
-2.04915089569698, -2.04915104678309, -2.06455467856773, -2.0645551516111, -2.06455493937108, -2.06268121721155, -2.06268156884647, -2.06789081256085, -2.09595088744953, -2.96420214463114, -3.75825695299073, -5.08475020309163, -5.08475072469844, -6.14133448041025, -6.43309907212625, -7.60015781760472, -8.10659726417396, -8.52172553058085, -8.85250857011152, -9.09932970978787, -9.35825572128056, -9.47112090575428, -9.48486105168877, -9.41290256393808, -9.36750518090275, -9.39344654212334, -9.5101826703139, 
-9.67132306382013, -9.28787793229054, -9.25247859913867, -9.08274972162144, -9.02912633711088, -8.83117196071288, -8.83117187078062, -8.21546957664879, -8.13052617561732, -7.97937044198886, -7.5495667608173, -7.549564531398, -7.5495644072916, -7.46209218376021, -7.40070384960188, -7.40070368682456, -7.26326078132462, -7.2632602813016, -7.209390904337, -7.20938803280177, -7.20039765706434, -7.20039459487282, -7.17922004240449, -7.17921757376553, -7.14019399891589, -7.12025793518973, -7.12025733444261, 
-7.12025743876393, -7.12201463217087, -7.12201465555324, -7.12201487588715, -7.13586910801564, -7.13587043541497, -7.30091280464399, -7.56177928867521, -7.65299436998339, -7.66919271375957, -7.73824461969127, -7.83031332397979, -7.79195123735497, -7.75358933958768, -7.72615092105173, -7.70755498834274, -7.67923630171327, -7.67921034188362, -7.62315836161531, -7.57484294659281, -7.55713499186504, -7.54235084457048, -7.54235171871153, -7.56195354670757, -7.5662780302149, -7.56627881172579, -7.56627878384677, 
-6.56760691607712, -5.67070992391763, -2.37537604707677, -2.24288534556541, -2.16065995111393, -2.01700577639525, -1.67748560931125, -1.45826809992298, -1.07463741217839, -0.80974975358464, -0.742755679917707, -0.809761472649996, -0.800314010195962, -0.773213597348047, -0.662944571211881, -0.538693134377013, -0.538686143047585, -0.538683414504533, -0.459919070775413, -0.363408677037341, -0.258153020478915, -0.258141347278979, -0.258130953814259, -0.0945941665741543, 0.375388366619688, 0.476007327437799, 
0.495619453570384, 0.510635997368524, 0.507167840203522, 0.47020735145793, 0.470207164398971, 0.470207007017621, 0.485740306649689, 0.496479218920229, 0.506743353011132, 0.552413691074207, 0.643754367200415, 0.689059641673509, 0.701851959745738, 0.762497020434637, 0.890373851898062, 1.04565303908413, 1.20326656498537)))"
Black Sea,4,2,2,8672.882527556,6.3896897006407425,A. Native,1.5651914555560003,20044,7,Black Sea,2,Temperate Northern Atlantic,41,44,Temperate,"list(list(c(44.5701994781508, 39.9991906315997, 32.1597342887079, 32.0564624214329, 30.8619863896874, 30.1998700613417, 29.1919638686403, 26.8098348957352, 25.1148171254234, 26.8255024290727, 30.7687685658841, 36.2893408178359, 40.8240968188714, 42.9928929861944, 44.5701994781508, 39.9958662058801, 38.4347770468844, 39.149862515555, 39.2573494620138, 40.5005799326154, 40.9243341865606, 41.0338084674303, 41.8777817314303, 45.2413321366678, 47.6852348140126, 48.8682147304191, 49.0653780190934, 48.8682147304191, 
44.7277853058329, 39.9958662058801)))"
