REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Temperate Northern Atlantic,Mediterranean Sea,Alboran Sea,Morocco,Dicentrarchus labrax,100.77,1,100.77,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Portugal,Dicentrarchus labrax,360.0343,1,360.0343,Native
Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,Saudi Arabia,Dicentrarchus labrax,300,2,150,Introduced
Western Indo-Pacific,Red Sea and Gulf of Aden,Southern Red Sea,Saudi Arabia,Dicentrarchus labrax,300,2,150,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Slovenia,Dicentrarchus labrax,53.54,1,53.54,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Spain,Dicentrarchus labrax,619.9325625,1,619.9325625,Native
Temperate Northern Atlantic,Lusitanian,Azores Canaries Madeira,Spain,Dicentrarchus labrax,4172.342667,1,4172.342667,Native
Temperate Northern Atlantic,Mediterranean Sea,Alboran Sea,Spain,Dicentrarchus labrax,9548.92465,2,4774.462325,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,Spain,Dicentrarchus labrax,9548.92465,2,4774.462325,Native
Western Indo-Pacific,Somali/Arabian,Arabian (Persian) Gulf,United Arab Emirates,Dicentrarchus labrax,166.6666667,2,83.33333335,Introduced
Western Indo-Pacific,Somali/Arabian,Gulf of Oman,United Arab Emirates,Dicentrarchus labrax,166.6666667,2,83.33333335,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Turkey,Dicentrarchus labrax,59962.15,3,57803.5126,Native
Temperate Northern Atlantic,Mediterranean Sea,Levantine Sea,Turkey,Dicentrarchus labrax,59962.15,3,599.6215,Native
Temperate Northern Atlantic,Black Sea,Black Sea,Turkey,Dicentrarchus labrax,59962.15,3,1559.0159,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,United Kingdom,Dicentrarchus labrax,222.2222222,1,222.2222222,Native
Temperate Northern Atlantic,Northern European Seas,North Sea,Denmark,Gadus morhua,2.5,1,2.5,Native
Temperate Northern Atlantic,Northern European Seas,South and West Iceland,Iceland,Gadus morhua,878.6,1,878.6,Native
Temperate Northern Atlantic,Northern European Seas,Northern Norway and Finnmark,Norway,Gadus morhua,10223.552,2,4697.350152,Native
Temperate Northern Atlantic,Northern European Seas,Southern Norway,Norway,Gadus morhua,10223.552,2,5516.5303,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,United Kingdom,Gadus morhua,977.9,1,977.9,Native
Temperate Northern Atlantic,Northern European Seas,South and West Iceland,Iceland,Hippoglossus hippoglossus,26.35555556,1,26.35555556,Introduced
Temperate Northern Atlantic,Northern European Seas,Northern Norway and Finnmark,Norway,Hippoglossus hippoglossus,1692.761,2,913.3975497,Native
Temperate Northern Atlantic,Northern European Seas,Southern Norway,Norway,Hippoglossus hippoglossus,1692.761,2,1391.544257,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,United Kingdom,Hippoglossus hippoglossus,108.21,1,108.21,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,China,Larimichthys crocea,100224,3,73604.75411,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,China,Larimichthys crocea,100224,3,204.272752,Native
Central Indo-Pacific,South China Sea,Southern China,China,Larimichthys crocea,100224,3,11031.97635,Native
Central Indo-Pacific,South China Sea,Gulf of Tonkin,China,Larimichthys crocea,100224,3,15382.99679,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,China,Lateolabrax japonicus,115693.8,3,37002.07098,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,China,Lateolabrax japonicus,115693.8,3,24550.89855,Native
