Mapping parameters for Lates calcarifer (Barramundi),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 219),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Lates,calcarifer,-14.75,129.75,3112:249:4,8,28.67,35.38,1332,0,15
Lates,calcarifer,-14.75,129.25,3112:249:3,12,28.67,35.38,1286,0,23
Lates,calcarifer,-14.25,129.75,3112:249:2,2,28.67,35.38,1168,0,3
Lates,calcarifer,-14.25,129.25,3112:249:1,16,28.67,35.38,1871,0,25
Lates,calcarifer,-14.25,135.75,3113:245:2,12,27.9,34.58,496,0,14
Lates,calcarifer,-14.25,144.75,3114:144:2,110,26.85,35,889,0,23
Lates,calcarifer,-14.25,144.25,3114:144:1,7,26.85,35,654,0,18
Lates,calcarifer,-14.25,143.75,3114:143:2,15,26.99,35,769,0,13
Lates,calcarifer,-14.25,141.75,3114:141:2,29,27.95,34.22,732,0,6
Lates,calcarifer,-14.25,141.25,3114:141:1,117,27.95,34.22,1052,0,81
Lates,calcarifer,-13.75,129.75,3112:239:4,17,28.77,34.77,973,0,17
Lates,calcarifer,-13.75,129.25,3112:239:3,25,28.77,35.18,1682,0,81
Lates,calcarifer,-13.75,136.75,3113:236:4,7,27.96,34.43,306,0,19
Lates,calcarifer,-13.75,136.25,3113:236:3,12,27.96,34.43,256,0,25
Lates,calcarifer,-13.75,135.75,3113:235:4,14,27.99,34.43,614,0,4
Lates,calcarifer,-13.75,141.75,3114:131:4,3,28.09,34.15,717,0,2
Lates,calcarifer,-13.75,141.25,3114:131:3,105,28.09,34.15,1042,0,81
Lates,calcarifer,-13.25,129.75,3112:239:2,33,28.77,34.77,1024,0,27
Lates,calcarifer,-13.25,129.25,3112:239:1,47,28.77,34.77,997,0,95
Lates,calcarifer,-13.25,138.75,3113:238:2,75,28.09,34.36,892,0,271
Lates,calcarifer,-13.25,136.75,3113:236:2,11,27.96,34.43,222,0,27
Lates,calcarifer,-13.25,136.25,3113:236:1,7,27.96,34.43,425,0,21
Lates,calcarifer,-13.25,135.75,3113:235:2,14,27.99,34.25,555,0,3
Lates,calcarifer,-13.25,141.75,3114:131:2,11,28.09,34.15,627,0,11
Lates,calcarifer,-13.25,130.25,3113:130:1,10,28.82,34.77,764,0,11
Lates,calcarifer,-12.75,130.75,3113:120:4,1,28.81,34.77,990,0,7
Lates,calcarifer,-12.75,130.25,3113:120:3,13,28.81,34.77,1119,0,21
Lates,calcarifer,-12.75,136.75,3113:226:4,7,28,34.31,393,0,22
Lates,calcarifer,-12.75,136.25,3113:226:3,2,28,34.2,449,0,0
Lates,calcarifer,-12.75,141.75,3114:121:4,17,28.06,34.34,562,0,18
Lates,calcarifer,-12.75,141.25,3114:121:3,73,28.06,34.15,785,0,95
Lates,calcarifer,-12.75,131.25,3113:121:3,1,28.71,34.6,921,0,0
Lates,calcarifer,-12.25,130.75,3113:120:2,19,28.81,34.77,903,0,25
Lates,calcarifer,-12.25,130.25,3113:120:1,35,28.81,34.77,1083,0,97
Lates,calcarifer,-12.25,138.75,3113:228:2,82,28.09,34.31,984,0,272
Lates,calcarifer,-12.25,136.75,3113:226:2,6,28,34.2,577,0,14
Lates,calcarifer,-12.25,136.25,3113:226:1,7,28,34.2,492,0,16
Lates,calcarifer,-12.25,135.75,3113:225:2,10,28.02,34.25,671,0,9
Lates,calcarifer,-12.25,135.25,3113:225:1,7,28.02,34.25,720,0,11
Lates,calcarifer,-12.25,134.75,3113:124:2,1,28.14,34.34,725,0,2
Lates,calcarifer,-12.25,134.25,3113:124:1,3,28.14,34.34,917,0,1
Lates,calcarifer,-12.25,132.75,3113:122:2,10,28.52,34.4,1007,0,2
Lates,calcarifer,-12.25,132.25,3113:122:1,16,28.52,34.4,1019,0,12
Lates,calcarifer,-12.25,131.75,3113:121:2,17,28.71,34.41,968,0,14
Lates,calcarifer,-12.25,131.25,3113:121:1,9,28.71,34.41,915,0,12
Lates,calcarifer,-11.75,134.75,3113:114:4,18,28.1,34.34,1125,0,27
Lates,calcarifer,-11.75,134.25,3113:114:3,15,28.1,34.34,1048,0,25
Lates,calcarifer,-11.75,133.75,3113:113:4,9,28.23,34.34,762,0,17
Lates,calcarifer,-11.75,133.25,3113:113:3,16,28.23,34.33,757,0,10
Lates,calcarifer,-11.75,132.75,3113:112:4,12,28.42,34.4,965,0,10
Lates,calcarifer,-11.75,132.25,3113:112:3,19,28.42,34.4,1001,0,84
Lates,calcarifer,-11.75,131.75,3113:111:4,29,28.63,34.41,1008,0,84
Lates,calcarifer,-11.75,131.25,3113:111:3,13,28.63,34.41,1114,0,17
Lates,calcarifer,-11.75,130.75,3113:110:4,16,28.74,34.4,1065,0,13
Lates,calcarifer,-11.75,141.75,3114:111:4,35,27.88,34.34,356,0,95
Lates,calcarifer,-11.75,130.25,3113:110:3,22,28.74,34.41,1217,0,19
Lates,calcarifer,-11.75,141.25,3114:111:3,49,27.88,34.34,749,0,132
Lates,calcarifer,-11.25,134.75,3113:114:2,40,28.1,34.34,1072,0,110
Lates,calcarifer,-11.25,134.25,3113:114:1,37,28.1,34.34,1084,0,97
