Mapping parameters for Thunnus thynnus (Atlantic bluefin tuna),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 1407),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Thunnus,thynnus,-23.75,8.75,3200:238:4,4688,19.64,35.49,712,0,604
Thunnus,thynnus,-23.75,-13.75,5201:133:4,3116,23.27,36.55,139,0,1272
Thunnus,thynnus,-23.75,3.75,3200:133:4,4620,20.53,35.75,247,0,1076
Thunnus,thynnus,-23.75,-8.75,5200:238:4,4417,22.55,36.38,146,0,994
Thunnus,thynnus,-23.75,-3.75,5200:133:4,4939,21.68,36.11,173,0,965
Thunnus,thynnus,-18.75,-18.75,5101:488:4,4471,24.29,36.85,150,0,1225
Thunnus,thynnus,-18.75,-13.75,5101:383:4,3589,23.5,36.66,162,0,965
Thunnus,thynnus,-18.75,-8.75,5100:488:4,3982,22.71,36.5,196,0,514
Thunnus,thynnus,-18.75,-3.75,5100:383:4,5088,21.98,36.31,232,0,448
Thunnus,thynnus,-18.75,8.75,3100:488:4,4907,19.71,35.67,1267,0,360
Thunnus,thynnus,-18.75,3.75,3100:383:4,5436,21.05,35.93,368,0,878
Thunnus,thynnus,-18.75,-38.75,5103:488:4,53,26.09,37.08,547,0,127
Thunnus,thynnus,-18.75,-33.75,5103:383:4,4305,26.27,37.15,174,0,409
Thunnus,thynnus,-18.75,-28.75,5102:488:4,5084,25.75,37.14,138,0,298
Thunnus,thynnus,-18.75,-23.75,5102:383:4,5463,25.04,37,137,0,719
Thunnus,thynnus,-13.75,-18.75,5101:238:4,4412,24.94,36.74,171,0,883
Thunnus,thynnus,-13.75,-13.75,5101:133:4,3110,24.23,36.56,206,0,723
Thunnus,thynnus,-13.75,-8.75,5100:238:4,3681,23.55,36.57,267,0,446
Thunnus,thynnus,-13.75,-3.75,5100:133:4,4425,22.97,36.53,285,0,363
Thunnus,thynnus,-13.75,8.75,3100:238:4,4544,22.58,35.94,657,0,408
Thunnus,thynnus,-13.75,3.75,3100:133:4,5546,22.48,36.2,400,0,927
Thunnus,thynnus,-13.75,-38.75,5103:238:4,684,27.02,36.75,441,0,26
Thunnus,thynnus,-13.75,-33.75,5103:133:4,4661,26.92,36.82,180,0,481
Thunnus,thynnus,-13.75,-28.75,5102:238:4,5356,26.31,36.89,146,0,807
Thunnus,thynnus,-13.75,-23.75,5102:133:4,5263,25.63,36.8,156,0,1060
Thunnus,thynnus,-8.75,-33.75,5003:383:4,3449,27.46,36.38,321,0,147
Thunnus,thynnus,-8.75,-28.75,5002:488:4,5494,27.15,36.3,219,0,690
Thunnus,thynnus,-8.75,-23.75,5002:383:4,5517,26.7,36.23,234,0,1106
Thunnus,thynnus,-8.75,-18.75,5001:488:4,4236,26.23,36.13,250,0,563
Thunnus,thynnus,-8.75,-13.75,5001:383:4,2579,25.77,36.08,289,0,179
Thunnus,thynnus,-8.75,-8.75,5000:488:4,4060,25.39,36.12,325,0,670
Thunnus,thynnus,-8.75,-3.75,5000:383:4,4454,25.01,36,372,0,863
Thunnus,thynnus,-8.75,8.75,3000:488:4,4520,25.49,34.95,864,0,495
Thunnus,thynnus,-8.75,3.75,3000:383:4,5468,24.83,35.88,633,0,918
Thunnus,thynnus,-7.75,-14.25,5001:374:3,2441,26.02,35.99,321,0,27
Thunnus,thynnus,-7.25,-13.25,5001:373:1,3379,25.95,35.99,334,0,179
Thunnus,thynnus,-6.25,12.75,3001:362:2,3,25.65,31.02,2821,0,1
Thunnus,thynnus,-5.25,-33.75,5003:353:2,4343,27.46,36.12,354,0,201
Thunnus,thynnus,-4.75,-37.25,5003:247:3,17,27.39,36.22,403,0,15
Thunnus,thynnus,-3.75,-38.75,5003:238:4,17,27.46,35.97,292,0,4
Thunnus,thynnus,-3.75,-33.75,5003:133:4,2524,27.44,36.06,289,0,222
Thunnus,thynnus,-3.75,-28.75,5002:238:4,5099,27.22,36.01,341,0,444
Thunnus,thynnus,-3.75,-23.75,5002:133:4,4993,26.85,36.04,383,0,999
Thunnus,thynnus,-3.75,-18.75,5001:238:4,4693,26.41,35.93,437,0,723
Thunnus,thynnus,-3.75,-13.75,5001:133:4,3535,26.04,35.79,483,0,504
Thunnus,thynnus,-3.75,-8.75,5000:238:4,3862,25.87,35.66,486,0,809
Thunnus,thynnus,-3.75,-3.75,5000:133:4,4696,25.78,35.5,567,0,987
Thunnus,thynnus,-3.75,8.75,3000:238:4,3519,26.08,34.14,1769,0,208
Thunnus,thynnus,-3.75,3.75,3000:133:4,4692,26.03,35.1,1075,0,411
Thunnus,thynnus,3.75,-38.75,7003:238:4,4350,27.71,35.69,320,0,768
Thunnus,thynnus,3.75,-33.75,7003:133:4,3725,27.73,35.75,342,0,906
