Mapping parameters for Pagrus pagrus (Red porgy),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 277),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pagrus,pagrus,-23.75,-42.25,5204:132:3,523,24.26,36.2,470,0,141
Pagrus,pagrus,-23.25,-44.25,5204:134:1,45,23.59,35.9,863,0,25
Pagrus,pagrus,-23.25,-44.75,5204:134:2,39,23.59,35.9,642,0,14
Pagrus,pagrus,-23.25,-42.75,5204:132:2,92,24.26,36.2,670,0,86
Pagrus,pagrus,-23.25,-43.25,5204:133:1,74,23.94,35.9,842,0,86
Pagrus,pagrus,-23.25,-41.75,5204:131:2,118,24.55,36.45,613,0,97
Pagrus,pagrus,-23.25,-42.25,5204:132:1,117,24.26,36.2,600,0,86
Pagrus,pagrus,-23.25,-41.25,5204:131:1,151,24.55,36.45,576,0,126
Pagrus,pagrus,-22.75,-42.25,5204:122:3,40,24.41,36.2,775,0,5
Pagrus,pagrus,-22.75,-43.25,5204:123:3,8,24.01,35.9,1235,0,8
Pagrus,pagrus,-20.75,-40.25,5204:100:3,86,25.03,36.83,594,0,25
Pagrus,pagrus,-16.75,10.75,3101:360:4,2902,19.98,35.72,1992,0,133
Pagrus,pagrus,-16.25,11.75,3101:361:2,213,19.89,35.77,2443,0,19
Pagrus,pagrus,-16.25,10.75,3101:360:2,3084,19.98,35.72,2004,0,133
Pagrus,pagrus,-15.75,10.25,3101:350:3,3767,21.02,35.78,1524,0,194
Pagrus,pagrus,-14.75,10.25,3101:140:3,3723,22.18,35.78,1104,0,242
Pagrus,pagrus,-14.25,9.75,3100:249:2,4018,21.93,35.85,956,0,296
Pagrus,pagrus,-13.75,8.75,3100:238:4,4544,22.58,35.94,657,0,408
Pagrus,pagrus,-13.75,7.75,3100:237:4,4884,22.38,36.01,634,0,515
Pagrus,pagrus,-13.25,7.75,3100:237:2,4924,22.38,36.01,609,0,524
Pagrus,pagrus,-12.75,7.25,3100:227:3,5096,23.07,35.98,547,0,590
Pagrus,pagrus,-12.25,13.75,3101:123:2,109,25.08,35.36,1837,0,8
Pagrus,pagrus,-11.75,7.25,3100:217:3,5101,23.74,35.91,581,0,630
Pagrus,pagrus,-11.25,6.75,3100:216:2,5206,23.58,35.98,524,0,704
Pagrus,pagrus,-10.75,6.25,3100:206:3,5291,24.14,35.87,495,0,778
Pagrus,pagrus,-10.25,5.75,3100:205:2,5316,24.03,35.96,523,0,850
Pagrus,pagrus,-9.75,5.25,3000:495:3,5337,24.51,35.84,562,0,895
Pagrus,pagrus,-9.25,4.75,3000:394:2,5400,24.43,35.93,616,0,934
Pagrus,pagrus,-8.25,4.75,3000:384:2,5314,24.87,35.8,636,0,841
Pagrus,pagrus,-7.75,4.25,3000:374:3,5318,25.32,35.62,653,0,797
Pagrus,pagrus,-7.25,4.75,3000:374:2,5175,25.32,35.62,716,0,732
Pagrus,pagrus,-6.75,4.75,3000:364:4,5079,25.67,35.44,740,0,677
Pagrus,pagrus,-5.75,12.25,3001:352:3,36,25.78,29.54,3830,0,17
Pagrus,pagrus,-5.75,4.75,3000:354:4,5098,25.9,35.27,854,0,568
Pagrus,pagrus,-5.25,5.25,3000:455:1,4911,25.98,35.07,1247,0,504
Pagrus,pagrus,-4.75,11.75,3001:141:4,51,25.82,29.54,3279,0,23
Pagrus,pagrus,-4.75,5.25,3000:245:3,4914,26.06,34.94,1255,0,449
Pagrus,pagrus,-4.25,5.25,3000:245:1,4877,26.06,34.94,1281,0,394
Pagrus,pagrus,-3.75,11.25,3001:131:3,22,25.89,31.57,2054,0,6
Pagrus,pagrus,-3.25,10.25,3001:130:1,79,25.88,33.79,1918,0,27
Pagrus,pagrus,-3.25,10.75,3001:130:2,108,25.88,33.79,1790,0,8
Pagrus,pagrus,-3.25,5.25,3000:235:1,4485,26.11,34.82,928,0,285
Pagrus,pagrus,-2.75,4.75,3000:124:4,4269,26.18,34.8,878,0,256
Pagrus,pagrus,-2.75,9.75,3000:229:4,76,26.08,33.79,1585,0,26
Pagrus,pagrus,-2.25,4.75,3000:124:2,3327,26.18,34.8,797,0,213
Pagrus,pagrus,-1.75,4.75,3000:114:4,3684,26.43,34.53,673,0,180
Pagrus,pagrus,-1.75,9.25,3000:219:3,88,26.32,34.13,2019,0,18
Pagrus,pagrus,-1.25,8.75,3000:218:2,155,26.36,34.13,1635,0,28
Pagrus,pagrus,-1.25,5.25,3000:215:1,3474,26.43,34.34,614,0,111
Pagrus,pagrus,-0.75,8.75,3000:208:4,233,26.78,33.45,2241,0,25
Pagrus,pagrus,-0.25,9.25,3000:209:1,31,26.75,33.45,1752,0,19
Pagrus,pagrus,-0.25,5.25,3000:205:1,3469,26.83,33.93,548,0,180
Pagrus,pagrus,0.25,9.25,1000:209:1,34,27.3,31.62,1624,0,25
Pagrus,pagrus,0.25,5.25,1000:205:1,3711,27.32,33.47,514,0,222
Pagrus,pagrus,1.25,5.75,1000:215:2,3536,27.65,33.04,512,0,213
Pagrus,pagrus,1.25,9.25,1000:219:1,377,27.66,31.11,1690,0,27
Pagrus,pagrus,1.75,9.75,1000:219:4,247,27.66,31.11,1752,0,13
Pagrus,pagrus,1.75,6.25,1000:216:3,3289,27.65,32.47,589,0,167
Pagrus,pagrus,2.25,9.75,1000:229:2,444,27.83,30.2,1922,0,19
Pagrus,pagrus,2.25,6.25,1000:226:1,3149,27.83,31.95,591,0,180
Pagrus,pagrus,2.75,6.25,1000:226:3,2241,27.83,31.95,646,0,195
Pagrus,pagrus,3.25,9.75,1000:239:2,61,27.89,30.2,2485,0,26
Pagrus,pagrus,3.75,9.25,1000:239:3,102,27.89,30.2,2174,0,27
Pagrus,pagrus,3.75,6.25,1000:236:3,457,27.91,31.48,1001,0,83
Pagrus,pagrus,4.25,-7.75,7000:247:2,696,27.69,34.59,1164,0,25
