Mapping parameters for Oncorhynchus mykiss (Rainbow trout),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 123),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,mykiss,49.25,-123.25,7412:393:1,113,10.68,31.6,2742,0,13
Oncorhynchus,mykiss,49.25,-122.75,7412:392:2,4,10.17,31.6,2662,0,2
Oncorhynchus,mykiss,49.25,-126.75,7412:496:2,221,10.96,32.13,1947,0,18
Oncorhynchus,mykiss,49.25,-125.25,7412:495:1,1,10.85,31.6,2326,0,1
Oncorhynchus,mykiss,49.25,-124.75,7412:394:2,51,10.78,31.6,2537,0,2
Oncorhynchus,mykiss,49.25,-124.25,7412:394:1,158,10.78,31.6,2407,0,6
Oncorhynchus,mykiss,49.75,-123.25,7412:393:3,1,10.68,31.6,2661,0,2
Oncorhynchus,mykiss,49.75,-125.25,7412:495:3,81,10.85,31.6,2260,0,1
Oncorhynchus,mykiss,49.75,-124.75,7412:394:4,105,10.78,31.6,2314,0,14
Oncorhynchus,mykiss,49.75,-123.75,7412:393:4,4,10.68,31.6,2622,0,4
Oncorhynchus,mykiss,50.25,-128.25,7512:208:1,839,10.72,31.87,1652,0,71
Oncorhynchus,mykiss,50.25,-127.75,7512:207:2,147,10.68,31.87,1933,0,11
Oncorhynchus,mykiss,50.25,-126.25,7512:206:1,28,10.69,32.13,1769,0,0
Oncorhynchus,mykiss,50.25,-125.25,7512:205:1,11,10.65,31.6,2068,0,9
Oncorhynchus,mykiss,50.75,-131.75,7513:101:4,2840,10.74,32.18,739,0,202
Oncorhynchus,mykiss,50.75,-127.75,7512:207:4,31,10.68,31.87,1678,0,7
Oncorhynchus,mykiss,50.75,-127.25,7512:207:3,55,10.68,31.87,1957,0,9
Oncorhynchus,mykiss,51.75,-128.25,7512:218:3,72,10.41,31.53,1669,0,15
Oncorhynchus,mykiss,51.75,-127.25,7512:217:3,1,10.44,31.53,1422,0,2
Oncorhynchus,mykiss,52.25,-127.75,7512:227:2,4,10.15,31.53,1426,0,6
Oncorhynchus,mykiss,52.75,-131.75,7513:121:4,207,10.07,31.87,1048,0,10
Oncorhynchus,mykiss,54.25,-130.75,7513:140:2,45,9.33,31.17,1604,0,15
Oncorhynchus,mykiss,54.25,-130.25,7513:140:1,24,9.33,31.17,1627,0,8
Oncorhynchus,mykiss,54.25,-129.75,7512:249:2,3,9.39,31.17,1766,0,2
Oncorhynchus,mykiss,54.25,-128.75,7512:248:2,1,9.02,31.48,1943,0,0
Oncorhynchus,mykiss,54.75,-129.75,7512:249:4,12,9.39,31.17,1879,0,0
Oncorhynchus,mykiss,54.75,-165.75,7516:245:4,256,6.26,32.02,713,0.00557917,88
Oncorhynchus,mykiss,55.25,-132.75,7513:352:2,2,9.15,31.81,1492,0,7
Oncorhynchus,mykiss,55.25,-132.25,7513:352:1,16,9.15,31.17,1510,0,7
Oncorhynchus,mykiss,55.25,-130.75,7513:350:2,7,9.06,31.17,1654,0,4
Oncorhynchus,mykiss,55.75,-132.75,7513:352:4,43,9.15,31.81,1570,0.01,2
Oncorhynchus,mykiss,55.75,-130.75,7513:350:4,67,9.06,31.17,1785,0.00911392,3
Oncorhynchus,mykiss,55.75,-151.25,7515:351:3,5033,7.31,32.6,648,0.0007475,209
Oncorhynchus,mykiss,56.25,-134.25,7513:364:1,245,8.9,31.97,1509,0.03,14
Oncorhynchus,mykiss,56.25,-134.75,7513:364:2,236,8.9,31.97,1311,0.04,13
Oncorhynchus,mykiss,57.25,165.75,1516:475:2,3528,4.13,32.83,747,0.0019975,189
Oncorhynchus,mykiss,57.25,-154.25,7515:374:1,5,6.95,32.16,962,0.04,3
Oncorhynchus,mykiss,57.25,-132.75,7513:372:2,42,8.65,31.97,1966,0.09,2
Oncorhynchus,mykiss,57.75,-154.25,7515:374:3,170,6.95,32.16,1304,0.1,11
Oncorhynchus,mykiss,57.75,-145.25,7514:475:3,3814,7.96,32.35,466,0.0004575,280
Oncorhynchus,mykiss,58.25,-153.25,7515:383:1,124,6.8,31.04,1380,0.02,12
Oncorhynchus,mykiss,58.25,-152.25,7515:382:1,26,6.93,31.87,873,0.04,11
Oncorhynchus,mykiss,58.25,-134.75,7513:384:2,197,8.71,32.18,1777,0.25,8
Oncorhynchus,mykiss,58.75,-157.25,7515:487:3,28,4.86,31.29,885,0.43,8
Oncorhynchus,mykiss,58.75,-156.75,7515:486:4,8,5.59,31.29,1023,0.25,1
Oncorhynchus,mykiss,58.75,-152.25,7515:382:3,73,6.93,31.04,870,0.03,14
Oncorhynchus,mykiss,58.75,162.75,1516:382:4,19,3.81,32.63,686,0.33,11
Oncorhynchus,mykiss,58.75,-133.75,7513:383:4,1,8.52,31.97,1610,0.16,0
Oncorhynchus,mykiss,59.25,-158.75,7515:498:2,1,4.51,31.29,995,0.12,0
Oncorhynchus,mykiss,59.25,-154.25,7515:394:1,51,6.43,31.04,930,0.05,3
Oncorhynchus,mykiss,59.25,-139.75,7513:499:2,137,8.86,32.11,878,0.03,14
Oncorhynchus,mykiss,59.75,-151.75,7515:391:4,68,7.13,31.04,886,0.05,10
Oncorhynchus,mykiss,60.25,-151.25,7615:101:1,27,6.72,31.04,955,0.1,3
Oncorhynchus,mykiss,60.25,-149.25,7614:209:1,72,7.9,31.44,888,0.02,2
Oncorhynchus,mykiss,60.75,-151.25,7615:101:3,31,6.72,31.04,947,0.16,9
Oncorhynchus,mykiss,60.75,-150.75,7615:100:4,19,7.2,31.04,753,0.21,2
Oncorhynchus,mykiss,60.75,-150.25,7615:100:3,61,7.2,31.44,935,0.15,1
Oncorhynchus,mykiss,60.75,-146.25,7614:206:3,32,8.42,31.63,533,0.03,8
Oncorhynchus,mykiss,61.25,-151.75,7615:111:2,140,6.37,31.04,1217,0.17,0
Oncorhynchus,mykiss,61.25,-150.75,7615:110:2,36,6.55,31.04,1029,0.37,8
Oncorhynchus,mykiss,61.75,-149.75,7614:219:4,102,7.13,31.44,1110,0.15,0
Oncorhynchus,mykiss,61.75,-149.25,7614:219:3,12,7.13,31.44,925,0.08,1
