Mapping parameters for Oncorhynchus tshawytscha (Chinook salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 514),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,tshawytscha,49.75,-124.75,7412:394:4,105,10.78,31.6,2314,0,14
Oncorhynchus,tshawytscha,49.75,-123.25,7412:393:3,1,10.68,31.6,2661,0,2
Oncorhynchus,tshawytscha,49.75,-127.75,7412:497:4,1079,11.04,32.13,1681,0,72
Oncorhynchus,tshawytscha,49.75,-127.25,7412:497:3,261,11.04,32.13,2062,0,17
Oncorhynchus,tshawytscha,50.25,-128.25,7512:208:1,839,10.72,31.87,1652,0,71
Oncorhynchus,tshawytscha,50.25,-127.75,7512:207:2,147,10.68,31.87,1933,0,11
Oncorhynchus,tshawytscha,50.25,-125.25,7512:205:1,11,10.65,31.6,2068,0,9
Oncorhynchus,tshawytscha,50.75,-131.75,7513:101:4,2840,10.74,32.18,739,0,202
Oncorhynchus,tshawytscha,50.75,-128.25,7512:208:3,72,10.72,31.87,1926,0,11
Oncorhynchus,tshawytscha,50.75,-127.75,7512:207:4,31,10.68,31.87,1678,0,7
Oncorhynchus,tshawytscha,50.75,-127.25,7512:207:3,55,10.68,31.87,1957,0,9
Oncorhynchus,tshawytscha,51.25,-132.25,7513:112:1,2761,10.42,32.15,710,0,151
Oncorhynchus,tshawytscha,51.25,-129.25,7512:219:1,212,10.41,31.71,1385,0,124
Oncorhynchus,tshawytscha,51.25,179.25,1517:219:1,1195,5.8,32.95,548,0.00084417,17
Oncorhynchus,tshawytscha,51.75,-179.25,7517:219:3,1168,5.88,32.93,608,0.00059417,69
Oncorhynchus,tshawytscha,51.75,-178.75,7517:218:4,683,5.95,32.93,506,0.00126167,17
Oncorhynchus,tshawytscha,51.75,-178.25,7517:218:3,770,5.95,32.93,483,0.00402417,16
Oncorhynchus,tshawytscha,51.75,-177.75,7517:217:4,434,6.01,32.9,536,0.00314839,14
Oncorhynchus,tshawytscha,51.75,-177.25,7517:217:3,473,6.01,32.9,526,0.01,15
Oncorhynchus,tshawytscha,51.75,-176.75,7517:216:4,169,6.08,32.88,522,0.00613311,14
Oncorhynchus,tshawytscha,51.75,-176.25,7517:216:3,313,6.08,32.88,521,0.02,16
Oncorhynchus,tshawytscha,51.75,-175.75,7517:215:4,703,6.15,32.86,543,0.00281667,17
Oncorhynchus,tshawytscha,51.75,-174.75,7517:114:4,1689,6.19,32.83,578,0.00185833,90
Oncorhynchus,tshawytscha,51.75,-174.25,7517:114:3,2223,6.19,32.83,569,0.00661,90
Oncorhynchus,tshawytscha,51.75,-173.75,7517:113:4,2444,6.21,32.81,580,0.00319167,90
Oncorhynchus,tshawytscha,51.75,-172.25,7517:112:3,2761,6.24,32.77,616,0.00061,90
Oncorhynchus,tshawytscha,51.75,-171.75,7517:111:4,2829,6.29,32.74,636,0.00054,100
Oncorhynchus,tshawytscha,51.75,-127.25,7512:217:3,1,10.44,31.53,1422,0,2
Oncorhynchus,tshawytscha,51.75,178.25,1517:218:3,299,5.77,32.95,501,0.00099833,17
Oncorhynchus,tshawytscha,51.75,177.75,1517:217:4,724,5.78,32.95,524,0.0014975,17
Oncorhynchus,tshawytscha,51.75,176.75,1517:216:4,2439,5.81,32.95,575,0.00041417,69
Oncorhynchus,tshawytscha,51.75,176.25,1517:216:3,2367,5.81,32.95,568,0.00028917,100
Oncorhynchus,tshawytscha,52.25,174.25,1517:124:1,1414,5.75,32.97,518,0.00033083,68
Oncorhynchus,tshawytscha,52.25,-174.75,7517:124:2,757,5.92,32.9,505,0.01,16
Oncorhynchus,tshawytscha,52.25,-179.75,7517:229:2,454,5.62,33.02,567,0.00045583,122
Oncorhynchus,tshawytscha,52.25,173.75,1517:123:2,870,5.76,32.97,537,0.000845,16
Oncorhynchus,tshawytscha,52.25,-174.25,7517:124:1,194,5.92,32.9,516,0.00483446,13
Oncorhynchus,tshawytscha,52.25,-176.25,7517:226:1,2374,5.84,32.97,531,0.00449667,16
Oncorhynchus,tshawytscha,52.25,-175.75,7517:225:2,1668,5.88,32.93,521,0.00204,17
Oncorhynchus,tshawytscha,52.25,-173.75,7517:123:2,198,5.95,32.88,572,0.01,16
Oncorhynchus,tshawytscha,52.25,-175.25,7517:225:1,1295,5.88,32.93,492,0.00263667,68
Oncorhynchus,tshawytscha,52.25,-173.25,7517:123:1,338,5.95,32.88,540,0.00226083,16
Oncorhynchus,tshawytscha,52.25,-172.75,7517:122:2,280,5.98,32.84,495,0.00149667,17
Oncorhynchus,tshawytscha,52.25,-172.25,7517:122:1,203,5.98,32.84,512,0.00102417,16
Oncorhynchus,tshawytscha,52.25,-171.75,7517:121:2,381,6.03,32.79,563,0.00067917,68
Oncorhynchus,tshawytscha,52.25,-127.25,7512:227:1,1,10.15,31.53,1706,0,5
Oncorhynchus,tshawytscha,52.25,179.75,1517:229:2,146,5.55,33.02,453,0.00094167,17
Oncorhynchus,tshawytscha,52.75,174.25,1517:124:3,1486,5.75,32.97,528,0.000525,67
Oncorhynchus,tshawytscha,52.75,-174.75,7517:124:4,3253,5.92,32.9,501,0.00065,89
Oncorhynchus,tshawytscha,52.75,-179.75,7517:229:4,853,5.62,33.02,503,0.0003175,164
Oncorhynchus,tshawytscha,52.75,-174.25,7517:124:3,2798,5.92,32.9,502,0.00214917,89
Oncorhynchus,tshawytscha,52.75,-179.25,7517:229:3,1813,5.62,33.02,549,0.00026083,150
Oncorhynchus,tshawytscha,52.75,173.75,1517:123:4,744,5.76,32.97,507,0.00346917,17
Oncorhynchus,tshawytscha,52.75,-173.25,7517:123:3,1408,5.95,32.88,539,0.00070583,89
Oncorhynchus,tshawytscha,52.75,-172.75,7517:122:4,1270,5.98,32.84,535,0.00080333,89
Oncorhynchus,tshawytscha,52.75,-172.25,7517:122:3,906,5.98,32.84,527,0.00081667,89
Oncorhynchus,tshawytscha,52.75,-171.75,7517:121:4,767,6.03,32.79,500,0.00042917,67
Oncorhynchus,tshawytscha,52.75,-171.25,7517:121:3,325,6.03,32.79,484,0.00105333,17
Oncorhynchus,tshawytscha,52.75,-131.75,7513:121:4,207,10.07,31.87,1048,0,10
Oncorhynchus,tshawytscha,52.75,-170.75,7517:120:4,463,6.12,32.75,559,0.00153833,16
Oncorhynchus,tshawytscha,52.75,-170.25,7517:120:3,228,6.12,32.75,576,0.00247,16
Oncorhynchus,tshawytscha,52.75,174.75,1517:124:4,2322,5.75,32.97,494,0.00040083,101
Oncorhynchus,tshawytscha,53.25,-132.25,7513:132:1,17,9.8,32.04,1124,0,4
Oncorhynchus,tshawytscha,53.25,-131.75,7513:131:2,48,9.67,31.87,1196,0,11
Oncorhynchus,tshawytscha,53.25,-166.25,7516:236:1,1234,6.5,32.16,880,0.01,89
Oncorhynchus,tshawytscha,53.25,-172.25,7517:132:1,2255,5.76,32.88,553,0.00038667,120
Oncorhynchus,tshawytscha,53.25,-171.75,7517:131:2,2078,5.84,32.84,571,0.0003725,98
Oncorhynchus,tshawytscha,53.25,-171.25,7517:131:1,1994,5.84,32.84,559,0.0003725,89
Oncorhynchus,tshawytscha,53.25,173.25,1517:133:1,3155,5.62,33.02,497,0.006885,16
Oncorhynchus,tshawytscha,53.25,-170.75,7517:130:2,1999,5.93,32.81,601,0.000345,89
Oncorhynchus,tshawytscha,53.25,-170.25,7517:130:1,1378,5.93,32.81,544,0.00092833,89
Oncorhynchus,tshawytscha,53.75,-164.75,7516:134:4,491,6.64,32.18,816,0.00176167,89
Oncorhynchus,tshawytscha,53.75,-164.25,7516:134:3,796,6.64,32.18,843,0.00047,89
Oncorhynchus,tshawytscha,53.75,-132.75,7513:132:4,12,9.8,32.09,1288,0,3
Oncorhynchus,tshawytscha,53.75,-165.75,7516:235:4,153,6.57,32.16,662,0.01,66
Oncorhynchus,tshawytscha,53.75,-165.25,7516:235:3,336,6.57,32.16,792,0.0014,89
Oncorhynchus,tshawytscha,53.75,-166.75,7516:236:4,9,6.5,32.31,793,0.03,5
Oncorhynchus,tshawytscha,53.75,-170.75,7517:130:4,2132,5.93,32.81,551,0.00028917,144
Oncorhynchus,tshawytscha,53.75,-170.25,7517:130:3,2145,5.93,32.81,547,0.00033167,144
Oncorhynchus,tshawytscha,54.25,-160.75,7516:140:2,965,6.68,32.04,939,0.00065083,118
Oncorhynchus,tshawytscha,54.25,-160.25,7516:140:1,1096,6.68,32.04,984,0.00045667,97
Oncorhynchus,tshawytscha,54.25,-132.75,7513:142:2,231,9.45,31.81,1400,0,11
