Mapping parameters for Argyrosomus regius (Meagre),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 133),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Argyrosomus,regius,35.25,32.75,1303:352:2,609,21.49,39.11,337,0,14
Argyrosomus,regius,35.75,14.25,1301:354:3,585,20.33,37.72,373,0,22
Argyrosomus,regius,35.75,13.75,1301:353:4,684,20.2,37.61,378,0,90
Argyrosomus,regius,35.75,-3.75,7300:353:4,1050,18.6,36.52,693,0,89
Argyrosomus,regius,35.75,-0.75,7300:350:4,1162,19.1,37.29,570,0,12
Argyrosomus,regius,36.25,21.25,1302:361:1,3893,19.76,38.9,340,0,116
Argyrosomus,regius,36.25,12.25,1301:362:1,444,19.79,37.5,409,0,100
Argyrosomus,regius,36.25,-5.25,7300:465:1,395,18.65,36.5,1372,0,15
Argyrosomus,regius,36.25,-4.75,7300:364:2,693,18.57,36.52,1120,0,49
Argyrosomus,regius,36.75,-6.25,7300:466:3,17,18.76,36.13,1368,0,8
Argyrosomus,regius,36.75,30.75,1303:360:4,587,21.17,39.11,413,0,15
Argyrosomus,regius,37.25,-8.25,7300:478:1,15,18.27,36.25,1054,0,5
Argyrosomus,regius,37.25,-6.75,7300:476:2,14,18.6,36.13,1342,0,7
Argyrosomus,regius,37.25,2.75,1300:372:2,2756,19.33,37.06,457,0,89
Argyrosomus,regius,37.75,24.25,1302:374:3,130,18.95,38.47,339,0,20
Argyrosomus,regius,38.25,27.25,1302:487:1,23,18.73,38.84,792,0,3
Argyrosomus,regius,38.25,-9.25,7300:489:1,911,17.69,36.24,953,0,22
