Mapping parameters for Oncorhynchus kisutch (Coho salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 349),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,kisutch,49.25,-122.75,7412:392:2,4,10.17,31.6,2662,0,2
Oncorhynchus,kisutch,49.25,-125.25,7412:495:1,1,10.85,31.6,2326,0,1
Oncorhynchus,kisutch,49.25,-124.75,7412:394:2,51,10.78,31.6,2537,0,2
Oncorhynchus,kisutch,49.25,-124.25,7412:394:1,158,10.78,31.6,2407,0,6
Oncorhynchus,kisutch,49.75,-123.75,7412:393:4,4,10.68,31.6,2622,0,4
Oncorhynchus,kisutch,49.75,-123.25,7412:393:3,1,10.68,31.6,2661,0,2
Oncorhynchus,kisutch,49.75,-125.25,7412:495:3,81,10.85,31.6,2260,0,1
Oncorhynchus,kisutch,49.75,-124.75,7412:394:4,105,10.78,31.6,2314,0,14
Oncorhynchus,kisutch,49.75,-124.25,7412:394:3,80,10.78,31.6,2321,0,9
Oncorhynchus,kisutch,50.25,-128.25,7512:208:1,839,10.72,31.87,1652,0,71
Oncorhynchus,kisutch,50.25,-127.75,7512:207:2,147,10.68,31.87,1933,0,11
Oncorhynchus,kisutch,50.25,-125.75,7512:205:2,4,10.65,31.6,1946,0,2
Oncorhynchus,kisutch,50.25,-125.25,7512:205:1,11,10.65,31.6,2068,0,9
Oncorhynchus,kisutch,50.25,156.25,1515:206:1,118,4.6,32.75,733,0.07,18
Oncorhynchus,kisutch,50.25,155.75,1515:205:2,65,4.7,32.75,758,0.02,11
Oncorhynchus,kisutch,50.25,155.25,1515:205:1,262,4.7,32.93,728,0.01,14
Oncorhynchus,kisutch,50.75,-131.75,7513:101:4,2840,10.74,32.18,739,0,202
Oncorhynchus,kisutch,50.75,-128.25,7512:208:3,72,10.72,31.87,1926,0,11
Oncorhynchus,kisutch,50.75,-127.75,7512:207:4,31,10.68,31.87,1678,0,7
Oncorhynchus,kisutch,50.75,-127.25,7512:207:3,55,10.68,31.87,1957,0,9
Oncorhynchus,kisutch,50.75,-126.75,7512:206:4,16,10.69,32.13,1644,0,12
Oncorhynchus,kisutch,50.75,156.25,1515:206:3,71,4.6,32.75,714,0.04,13
Oncorhynchus,kisutch,51.75,-127.75,7512:217:4,58,10.44,31.53,1428,0,8
Oncorhynchus,kisutch,51.75,-127.25,7512:217:3,1,10.44,31.53,1422,0,2
Oncorhynchus,kisutch,51.75,-177.75,7517:217:4,434,6.01,32.9,536,0.00314839,14
Oncorhynchus,kisutch,51.75,-176.75,7517:216:4,169,6.08,32.88,522,0.00613311,14
Oncorhynchus,kisutch,51.75,-176.25,7517:216:3,313,6.08,32.88,521,0.02,16
Oncorhynchus,kisutch,51.75,156.75,1515:216:4,11,4.61,32.68,736,0.05,1
Oncorhynchus,kisutch,52.25,-127.75,7512:227:2,4,10.15,31.53,1426,0,6
Oncorhynchus,kisutch,52.25,-127.25,7512:227:1,1,10.15,31.53,1706,0,5
Oncorhynchus,kisutch,52.25,-175.75,7517:225:2,1668,5.88,32.93,521,0.00204,17
Oncorhynchus,kisutch,52.25,-175.25,7517:225:1,1295,5.88,32.93,492,0.00263667,68
Oncorhynchus,kisutch,52.25,-174.75,7517:124:2,757,5.92,32.9,505,0.01,16
Oncorhynchus,kisutch,52.25,-173.75,7517:123:2,198,5.95,32.88,572,0.01,16
