Mapping parameters for Chanos chanos (Milkfish),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 344),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Chanos,chanos,-22.25,114.25,3211:124:1,27,25.55,35.09,1089,0,18
Chanos,chanos,-22.25,166.25,3216:226:1,791,24.68,35.63,449,0,22
Chanos,chanos,-21.75,115.25,3211:215:3,4,26.2,35.09,1057,0,5
Chanos,chanos,-21.25,165.75,3216:215:2,305,25.11,35.31,485,0,15
Chanos,chanos,-20.75,117.25,3211:207:3,6,26.74,35.06,838,0,9
Chanos,chanos,-20.75,116.75,3211:206:4,11,26.66,35.02,758,0,11
Chanos,chanos,-20.75,115.25,3211:205:3,48,26.49,35.08,764,0,25
Chanos,chanos,-20.75,55.75,3205:205:4,1984,25.63,35.11,224,0,23
Chanos,chanos,-20.75,55.25,3205:205:3,1880,25.63,35.11,225,0,23
Chanos,chanos,-20.25,149.25,3214:209:1,26,25.38,35.11,81,0,92
Chanos,chanos,-20.25,148.75,3214:208:2,5,25.52,35.02,276,0,16
Chanos,chanos,-20.25,116.75,3211:206:2,31,26.66,35.02,739,0,85
Chanos,chanos,-20.25,-152.75,5215:102:2,4466,26.22,35.79,199,0,324
Chanos,chanos,-20.25,57.75,3205:207:2,1027,25.46,34.99,243,0,15
Chanos,chanos,-19.75,116.75,3111:496:4,63,26.92,35.02,733,0,141
Chanos,chanos,-19.75,149.25,3114:499:3,15,25.82,35.13,225,0,126
Chanos,chanos,-19.75,148.25,3114:498:3,28,25.88,35.02,174,0,24
Chanos,chanos,-19.75,147.75,3114:497:4,19,26.01,35.02,437,0,14
Chanos,chanos,-19.75,63.25,3106:393:3,1112,25.43,34.91,342,0,26
Chanos,chanos,-19.25,35.75,3103:495:2,4,26.37,34.9,1687,0,22
Chanos,chanos,-19.25,-179.75,5117:499:2,2529,26.16,35.32,262,0,108
Chanos,chanos,-19.25,116.75,3111:496:2,136,26.92,35.02,640,0,196
Chanos,chanos,-19.25,147.25,3114:497:1,27,26.01,35.06,599,0,19
Chanos,chanos,-19.25,146.75,3114:496:2,27,26.08,35.06,521,0,9
Chanos,chanos,-18.75,-179.75,5117:489:4,1655,26.62,35.29,263,0,26
