Mapping parameters for Mugil cephalus (Flathead grey mullet),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 384),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Mugil,cephalus,-33.75,123.25,3312:133:3,23,17.89,35.79,606,0,6
Mugil,cephalus,-33.75,122.75,3312:132:4,5,17.97,35.79,545,0,6
Mugil,cephalus,-33.75,26.75,3302:236:4,66,21.88,35.38,1596,0,17
Mugil,cephalus,-33.75,26.25,3302:236:3,47,21.88,35.38,1752,0,14
Mugil,cephalus,-33.75,25.75,3302:235:4,11,21.46,35.36,1526,0,10
Mugil,cephalus,-33.25,152.75,3315:132:2,3134,21.36,35.61,597,0,119
Mugil,cephalus,-33.25,152.25,3315:132:1,632,21.36,35.61,696,0,85
Mugil,cephalus,-33.25,151.75,3315:131:2,80,21.15,35.61,658,0,21
Mugil,cephalus,-33.25,151.25,3315:131:1,2,21.15,35.61,538,0,1
Mugil,cephalus,-33.25,115.75,3311:235:2,14,20.07,35.72,365,0,9
Mugil,cephalus,-33.25,27.75,3302:237:2,386,21.94,35.36,1681,0,19
Mugil,cephalus,-33.25,27.25,3302:237:1,28,21.94,35.36,1627,0,5
Mugil,cephalus,-32.75,153.25,3315:123:3,3530,21.97,35.65,557,0,120
Mugil,cephalus,-32.75,152.75,3315:122:4,709,21.75,35.65,654,0,86
Mugil,cephalus,-32.75,152.25,3315:122:3,83,21.75,35.61,769,0,20
Mugil,cephalus,-32.75,151.75,3315:121:4,20,21.47,35.61,736,0,5
Mugil,cephalus,-32.25,153.25,3315:123:1,2212,21.97,35.65,546,0,86
Mugil,cephalus,-32.25,152.75,3315:122:2,94,21.75,35.65,747,0,23
Mugil,cephalus,-32.25,152.25,3315:122:1,4,21.75,35.65,767,0,1
Mugil,cephalus,-32.25,115.25,3311:225:1,199,20.6,35.65,600,0,71
Mugil,cephalus,-31.75,115.75,3311:215:4,18,20.84,35.5,492,0,13
Mugil,cephalus,-31.75,153.25,3315:113:3,956,22.51,35.68,519,0,71
Mugil,cephalus,-31.75,152.75,3315:112:4,50,22.19,35.68,705,0,13
Mugil,cephalus,-31.75,29.25,3302:219:3,193,23.07,35.36,1278,0,7
Mugil,cephalus,-31.25,30.25,3303:110:1,1265,23.17,35.31,822,0,21
Mugil,cephalus,-31.25,153.25,3315:113:1,599,22.51,35.68,488,0,24
Mugil,cephalus,-31.25,152.75,3315:112:2,11,22.19,35.68,759,0,2
Mugil,cephalus,-30.75,17.75,3301:207:4,39,16.06,34.65,3307,0,5
Mugil,cephalus,-30.75,30.25,3303:100:3,157,23.57,35.31,904,0,4
Mugil,cephalus,-30.75,153.25,3315:103:3,411,22.93,35.52,502,0,23
Mugil,cephalus,-30.25,30.75,3303:100:2,242,23.57,35.34,974,0,12
Mugil,cephalus,-30.25,153.75,3315:103:2,2732,22.93,35.52,484,0,72
Mugil,cephalus,-30.25,153.25,3315:103:1,91,22.93,35.52,706,0,18
Mugil,cephalus,-29.75,31.25,3203:391:3,167,23.94,35.34,874,0,20
Mugil,cephalus,-29.75,153.75,3215:393:4,782,23.27,35.61,551,0,72
Mugil,cephalus,-29.75,153.25,3215:393:3,26,23.27,35.52,728,0,10
Mugil,cephalus,-29.25,31.75,3203:391:2,74,23.94,35.34,1236,0,22
Mugil,cephalus,-29.25,154.25,3215:394:1,2985,23.09,35.61,423,0,88
Mugil,cephalus,-29.25,153.75,3215:393:2,298,23.27,35.61,702,0,50
