Mapping parameters for Pseudocaranx dentex (White trevally),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 475),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pseudocaranx,dentex,-40.75,171.25,3417:101:3,370,15.47,35.2,542,0,117
Pseudocaranx,dentex,-40.75,144.75,3414:104:4,6,14.77,35.25,686,0,14
Pseudocaranx,dentex,-40.25,174.75,3417:104:2,84,15.59,35,762,0,64
Pseudocaranx,dentex,-40.25,174.25,3417:104:1,103,15.59,35,500,0,98
Pseudocaranx,dentex,-40.25,148.25,3414:208:1,6,15.77,35.36,467,0,14
Pseudocaranx,dentex,-40.25,173.75,3417:103:2,84,15.9,35.02,142,0,98
Pseudocaranx,dentex,-40.25,177.25,3417:207:1,900,16.02,35.34,883,0,64
Pseudocaranx,dentex,-40.25,173.25,3417:103:1,81,15.9,35.02,707,0,98
Pseudocaranx,dentex,-40.25,147.75,3414:207:2,41,15.71,35.4,521,0,21
Pseudocaranx,dentex,-40.25,176.75,3417:206:2,157,15.7,35.34,799,0,12
Pseudocaranx,dentex,-40.25,172.75,3417:102:2,105,15.87,35.31,775,0,90
Pseudocaranx,dentex,-40.25,172.25,3417:102:1,204,15.87,35.31,656,0,98
Pseudocaranx,dentex,-40.25,175.25,3417:205:1,47,15.44,35,916,0,10
Pseudocaranx,dentex,-40.25,144.75,3414:104:2,48,14.77,35.25,727,0,21
Pseudocaranx,dentex,-40.25,144.25,3414:104:1,42,14.77,35.25,538,0,21
Pseudocaranx,dentex,-40.25,143.75,3414:103:2,80,14.55,35.27,483,0,21
Pseudocaranx,dentex,-39.75,174.75,3317:394:4,28,16.04,35,1028,0,8
Pseudocaranx,dentex,-39.75,174.25,3317:394:3,36,16.04,35.25,689,0,18
Pseudocaranx,dentex,-39.75,173.75,3317:393:4,86,16.1,35.25,169,0,81
Pseudocaranx,dentex,-39.75,177.75,3317:497:4,715,16.37,35.45,849,0,86
Pseudocaranx,dentex,-39.75,177.25,3317:497:3,174,16.37,35.34,783,0,21
Pseudocaranx,dentex,-39.75,144.75,3314:394:4,58,15.09,35.41,740,0,86
Pseudocaranx,dentex,-39.75,148.75,3314:498:4,297,16.01,35.45,714,0,86
Pseudocaranx,dentex,-39.75,144.25,3314:394:3,19,15.09,35.41,483,0,17
Pseudocaranx,dentex,-39.75,148.25,3314:498:3,24,16.01,35.45,367,0,18
Pseudocaranx,dentex,-39.75,143.75,3314:393:4,70,14.94,35.38,301,0,19
Pseudocaranx,dentex,-39.75,176.75,3317:496:4,18,16.12,35.34,857,0,2
Pseudocaranx,dentex,-39.75,147.75,3314:497:4,29,15.73,35.45,638,0,20
Pseudocaranx,dentex,-39.25,173.75,3317:393:2,93,16.1,35.25,160,0,17
Pseudocaranx,dentex,-39.25,173.25,3317:393:1,123,16.1,35.25,133,0,86
Pseudocaranx,dentex,-39.25,178.25,3317:498:1,638,16.6,35.45,824,0,81
Pseudocaranx,dentex,-39.25,177.75,3317:497:2,52,16.37,35.45,920,0,20
Pseudocaranx,dentex,-39.25,177.25,3317:497:1,42,16.37,35.45,593,0,18
Pseudocaranx,dentex,-39.25,148.75,3314:498:2,571,16.01,35.45,779,0,113
Pseudocaranx,dentex,-39.25,148.25,3314:498:1,53,16.01,35.45,518,0,99
Pseudocaranx,dentex,-39.25,176.75,3317:496:2,6,16.12,35.34,955,0,2
Pseudocaranx,dentex,-39.25,147.75,3314:497:2,47,15.73,35.45,868,0,86
Pseudocaranx,dentex,-39.25,147.25,3314:497:1,52,15.73,35.45,716,0,21
Pseudocaranx,dentex,-39.25,146.25,3314:496:1,67,15.51,35.45,618,0,21
Pseudocaranx,dentex,-38.75,148.75,3314:488:4,1582,16.23,35.5,862,0,145
Pseudocaranx,dentex,-38.75,148.25,3314:488:3,111,16.23,35.5,294,0,114
Pseudocaranx,dentex,-38.75,147.75,3314:487:4,55,15.82,35.5,731,0,82
Pseudocaranx,dentex,-38.75,147.25,3314:487:3,44,15.82,35.45,752,0,49
Pseudocaranx,dentex,-38.75,146.75,3314:486:4,17,15.57,35.45,501,0,17
Pseudocaranx,dentex,-38.75,146.25,3314:486:3,14,15.57,35.45,693,0,10
Pseudocaranx,dentex,-38.75,145.75,3314:485:4,42,15.4,35.43,743,0,15
Pseudocaranx,dentex,-38.75,145.25,3314:485:3,58,15.4,35.43,773,0,82
Pseudocaranx,dentex,-38.75,174.75,3317:384:4,33,16.51,35.43,894,0,5
Pseudocaranx,dentex,-38.75,174.25,3317:384:3,68,16.51,35.43,523,0,20
Pseudocaranx,dentex,-38.75,173.75,3317:383:4,124,16.46,35.43,345,0,81
Pseudocaranx,dentex,-38.75,173.25,3317:383:3,135,16.46,35.43,364,0,114
Pseudocaranx,dentex,-38.75,178.75,3317:488:4,1291,17.1,35.52,790,0,82
Pseudocaranx,dentex,-38.75,142.75,3314:382:4,74,15.25,35.38,528,0,21
Pseudocaranx,dentex,-38.75,172.75,3317:382:4,292,16.38,35.4,484,0,146
Pseudocaranx,dentex,-38.75,178.25,3317:488:3,254,17.1,35.45,916,0,20
Pseudocaranx,dentex,-38.75,149.25,3314:489:3,2631,16.94,35.54,847,0,145
Pseudocaranx,dentex,-38.75,177.75,3317:487:4,32,17.15,35.45,971,0,3
Pseudocaranx,dentex,-38.25,148.75,3314:488:2,501,16.23,35.5,896,0,89
Pseudocaranx,dentex,-38.25,148.25,3314:488:1,81,16.23,35.5,273,0,82
Pseudocaranx,dentex,-38.25,147.75,3314:487:2,42,15.82,35.5,662,0,22
Pseudocaranx,dentex,-38.25,147.25,3314:487:1,18,15.82,35.5,621,0,9
Pseudocaranx,dentex,-38.25,150.25,3315:380:1,2794,17.46,35.52,862,0,114
Pseudocaranx,dentex,-38.25,145.25,3314:485:1,10,15.4,35.43,749,0,12
Pseudocaranx,dentex,-38.25,174.75,3317:384:2,44,16.51,35.43,852,0,12
Pseudocaranx,dentex,-38.25,174.25,3317:384:1,89,16.51,35.43,306,0,66
Pseudocaranx,dentex,-38.25,144.75,3314:384:2,30,15.29,35.41,751,0,19
Pseudocaranx,dentex,-38.25,144.25,3314:384:1,37,15.29,35.41,718,0,7
Pseudocaranx,dentex,-38.25,173.75,3317:383:2,315,16.46,35.43,471,0,109
Pseudocaranx,dentex,-38.25,142.25,3314:382:1,20,15.25,35.38,672,0,7
Pseudocaranx,dentex,-38.25,178.75,3317:488:2,368,17.1,35.52,870,0,66
Pseudocaranx,dentex,-38.25,141.75,3314:381:2,29,15.26,35.49,559,0,10
Pseudocaranx,dentex,-38.25,178.25,3317:488:1,34,17.1,35.52,909,0,8
Pseudocaranx,dentex,-38.25,149.75,3314:489:2,928,16.94,35.54,921,0,98
Pseudocaranx,dentex,-38.25,149.25,3314:489:1,795,16.94,35.54,897,0,89
Pseudocaranx,dentex,-37.75,178.25,3317:478:3,20,17.59,35.63,808,0,5
Pseudocaranx,dentex,-37.75,177.75,3317:477:4,132,17.89,35.63,767,0,10
Pseudocaranx,dentex,-37.75,177.25,3317:477:3,145,17.89,35.63,1056,0,20
Pseudocaranx,dentex,-37.75,176.75,3317:476:4,120,17.9,35.59,805,0,15
Pseudocaranx,dentex,-37.75,176.25,3317:476:3,10,17.9,35.59,689,0,8
Pseudocaranx,dentex,-37.75,150.75,3315:370:4,4149,18.21,35.54,810,0,115
Pseudocaranx,dentex,-37.75,150.25,3315:370:3,1042,18.21,35.54,869,0,82
Pseudocaranx,dentex,-37.75,149.75,3314:479:4,95,17.6,35.54,979,0,18
Pseudocaranx,dentex,-37.75,149.25,3314:479:3,69,17.6,35.54,945,0,12
Pseudocaranx,dentex,-37.75,148.75,3314:478:4,40,16.93,35.5,827,0,11
Pseudocaranx,dentex,-37.75,148.25,3314:478:3,31,16.93,35.5,659,0,10
Pseudocaranx,dentex,-37.75,147.75,3314:477:4,9,16.27,35.5,531,0,5
Pseudocaranx,dentex,-37.75,145.25,3314:475:3,21,15.8,35.43,802,0,1
Pseudocaranx,dentex,-37.75,44.75,3304:374:4,3375,18.31,35.51,368,0,1092
Pseudocaranx,dentex,-37.75,174.75,3317:374:4,58,17.13,35.38,617,0,16
Pseudocaranx,dentex,-37.75,174.25,3317:374:3,226,17.13,35.38,355,0,66
Pseudocaranx,dentex,-37.75,144.75,3314:374:4,19,15.72,35.41,632,0,4
Pseudocaranx,dentex,-37.75,139.75,3313:479:4,617,15.74,35.45,615,0,82
Pseudocaranx,dentex,-37.75,178.75,3317:478:4,241,17.59,35.5,985,0,22
Pseudocaranx,dentex,-37.25,176.25,3317:476:1,199,17.9,35.59,1078,0,82
Pseudocaranx,dentex,-37.25,175.75,3317:475:2,9,17.59,35.54,556,0,6
Pseudocaranx,dentex,-37.25,175.25,3317:475:1,33,17.59,35.54,769,0,3
Pseudocaranx,dentex,-37.25,150.75,3315:370:2,3972,18.21,35.54,704,0,89
Pseudocaranx,dentex,-37.25,150.25,3315:370:1,391,18.21,35.54,858,0,22
Pseudocaranx,dentex,-37.25,149.75,3314:479:2,9,17.6,35.54,889,0,2
Pseudocaranx,dentex,-37.25,174.75,3317:374:2,26,17.13,35.54,617,0,11
Pseudocaranx,dentex,-37.25,174.25,3317:374:1,242,17.13,35.38,358,0,82
Pseudocaranx,dentex,-37.25,139.75,3313:479:2,69,15.74,35.56,724,0,17
Pseudocaranx,dentex,-36.75,174.75,3317:364:4,8,17.6,35.54,558,0,10
Pseudocaranx,dentex,-36.75,139.25,3313:469:3,42,16.11,35.65,864,0,67
Pseudocaranx,dentex,-36.75,174.25,3317:364:3,75,17.6,35.54,497,0,19
Pseudocaranx,dentex,-36.75,138.75,3313:468:4,46,16.3,35.65,175,0,111
Pseudocaranx,dentex,-36.75,138.25,3313:468:3,68,16.3,35.65,150,0,150
