Mapping parameters for Pagrus auratus (Silver seabream),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 922),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pagrus,auratus,-40.75,171.75,3417:101:4,181,15.47,35.2,652,0,80
Pagrus,auratus,-40.75,174.75,3417:104:4,126,15.59,35,875,0,21
Pagrus,auratus,-40.75,174.25,3417:104:3,89,15.59,35,805,0,84
Pagrus,auratus,-40.75,173.75,3417:103:4,47,15.9,35.02,161,0,21
Pagrus,auratus,-40.75,148.25,3414:208:3,30,15.77,35.36,379,0,16
Pagrus,auratus,-40.75,173.25,3417:103:3,43,15.9,35.02,390,0,20
Pagrus,auratus,-40.75,147.75,3414:207:4,40,15.71,35.4,480,0,15
Pagrus,auratus,-40.75,176.75,3417:206:4,492,15.7,35.34,940,0,49
Pagrus,auratus,-40.75,147.25,3414:207:3,47,15.71,35.4,593,0,20
Pagrus,auratus,-40.75,176.25,3417:206:3,58,15.7,35.11,827,0,9
Pagrus,auratus,-40.75,172.75,3417:102:4,42,15.87,35.02,671,0,9
Pagrus,auratus,-40.75,172.25,3417:102:3,81,15.87,35.2,717,0,13
Pagrus,auratus,-40.75,175.25,3417:205:3,49,15.44,35,966,0,5
Pagrus,auratus,-40.75,146.75,3414:206:4,66,15.51,35.47,553,0,49
Pagrus,auratus,-40.75,146.25,3414:206:3,92,15.51,35.47,541,0,80
Pagrus,auratus,-40.75,171.75,3417:101:4,181,15.47,35.2,652,0,80
Pagrus,auratus,-40.75,145.75,3414:205:4,49,15.22,35.47,578,0,19
Pagrus,auratus,-40.75,145.25,3414:205:3,12,15.22,35.25,543,0,13
Pagrus,auratus,-40.75,148.25,3414:208:3,30,15.77,35.36,379,0,16
Pagrus,auratus,-40.75,147.75,3414:207:4,40,15.71,35.4,480,0,15
Pagrus,auratus,-40.75,144.75,3414:104:4,6,14.77,35.25,686,0,14
Pagrus,auratus,-40.75,147.25,3414:207:3,47,15.71,35.4,593,0,20
Pagrus,auratus,-40.75,144.25,3414:104:3,83,14.77,35.25,236,0,80
Pagrus,auratus,-40.75,174.75,3417:104:4,126,15.59,35,875,0,21
Pagrus,auratus,-40.25,143.75,3414:103:2,80,14.55,35.27,483,0,21
Pagrus,auratus,-40.25,174.75,3417:104:2,84,15.59,35,762,0,64
Pagrus,auratus,-40.25,174.25,3417:104:1,103,15.59,35,500,0,98
Pagrus,auratus,-40.25,145.25,3414:205:1,42,15.22,35.43,640,0,85
Pagrus,auratus,-40.25,173.75,3417:103:2,84,15.9,35.02,142,0,98
Pagrus,auratus,-40.25,144.75,3414:104:2,48,14.77,35.25,727,0,21
Pagrus,auratus,-40.25,173.25,3417:103:1,81,15.9,35.02,707,0,98
Pagrus,auratus,-40.25,143.75,3414:103:2,80,14.55,35.27,483,0,21
Pagrus,auratus,-40.25,176.75,3417:206:2,157,15.7,35.34,799,0,12
Pagrus,auratus,-40.25,172.75,3417:102:2,105,15.87,35.31,775,0,90
Pagrus,auratus,-40.25,175.25,3417:205:1,47,15.44,35,916,0,10
Pagrus,auratus,-40.25,172.25,3417:102:1,204,15.87,35.31,656,0,98
Pagrus,auratus,-40.25,174.75,3417:104:2,84,15.59,35,762,0,64
Pagrus,auratus,-40.25,174.25,3417:104:1,103,15.59,35,500,0,98
