Mapping parameters for Salmo salar (Atlantic salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 726),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Salmo,salar,45.75,-63.75,7406:353:4,14,6.63,29.94,1320,0.23,3
Salmo,salar,45.75,-63.25,7406:353:3,19,6.63,29.94,1306,0.22,8
Salmo,salar,45.75,13.75,1401:353:4,68,17.4,37.15,322,0,6
Salmo,salar,45.75,12.25,1401:352:3,1,17.42,37.15,747,0,1
Salmo,salar,45.75,-62.75,7406:352:4,25,6.63,30.88,1166,0.31,9
Salmo,salar,45.75,-62.25,7406:352:3,34,6.63,30.88,1459,0.18,10
Salmo,salar,45.75,-61.75,7406:351:4,24,6.7,30.88,1244,0.14,11
Salmo,salar,45.75,-61.25,7406:351:3,5,6.7,30.88,1035,0.11,5
Salmo,salar,45.75,-60.75,7406:350:4,21,6.73,30.64,1305,0.06,12
Salmo,salar,45.75,-59.75,7405:459:4,109,6.61,30.64,1307,0.06,19
Salmo,salar,45.75,-60.25,7406:350:3,89,6.73,30.64,1289,0.03,11
Salmo,salar,45.75,-59.25,7405:459:3,127,6.61,30.64,1252,0.02,78
Salmo,salar,45.75,-1.25,7400:351:3,16,15.73,35.02,1980,0,16
Salmo,salar,45.75,-65.25,7406:455:3,19,7.14,29.5,1425,0.2,1
Salmo,salar,46.25,-64.75,7406:364:2,11,6.46,29.5,1493,0.22,2
Salmo,salar,46.25,-63.75,7406:363:2,16,6.43,29.94,1792,0.21,13
Salmo,salar,46.25,-62.75,7406:362:2,5,6.42,30.31,1485,0.19,4
Salmo,salar,46.25,-62.25,7406:362:1,20,6.42,30.31,1353,0.16,14
Salmo,salar,46.25,-61.25,7406:361:1,44,6.41,30.6,1437,0.2,8
Salmo,salar,46.25,-60.75,7406:360:2,4,6.36,30.81,1226,0.13,4
Salmo,salar,46.25,-55.25,7405:465:1,142,6.43,31.98,931,0.00135917,94
Salmo,salar,46.75,-63.75,7406:363:4,20,6.43,29.94,1861,0.17,16
Salmo,salar,46.75,-5.75,7400:465:4,3426,14.7,35.45,663,0,197
Salmo,salar,46.75,-61.25,7406:361:3,71,6.41,30.6,1536,0.17,19
Salmo,salar,46.75,-60.75,7406:360:4,74,6.36,30.81,1319,0.12,6
Salmo,salar,46.75,-60.25,7406:360:3,85,6.36,30.81,1397,0.11,15
Salmo,salar,46.75,-57.25,7405:467:3,172,6.22,31.34,874,0.00201083,114
Salmo,salar,46.75,-2.25,7400:362:3,28,14.92,34.93,1185,0,18
Salmo,salar,46.75,-64.75,7406:364:4,10,6.46,29.5,1992,0.22,12
Salmo,salar,47.25,-2.25,7400:372:1,6,13.98,34.93,1355,0,11
Salmo,salar,47.25,-1.75,7400:371:2,2,14.03,34.93,1290,0,1
Salmo,salar,47.25,-65.25,7406:475:1,22,5.96,29.5,1533,0.22,3
Salmo,salar,47.25,-53.75,7405:373:2,11,5.33,31.98,991,0.04,5
Salmo,salar,47.75,-7.75,7400:477:4,1193,14.06,35.48,582,0,267
Salmo,salar,47.75,-4.25,7400:374:3,63,14.01,35.38,1243,0,16
Salmo,salar,47.75,-3.75,7400:373:4,49,13.98,35.2,1206,0,13
Salmo,salar,47.75,-3.25,7400:373:3,47,13.98,35.2,1012,0,8
Salmo,salar,47.75,-59.25,7405:479:3,201,5.91,31.23,1124,0.12,11
Salmo,salar,47.75,-2.75,7400:372:4,8,13.98,34.93,1024,0,5
Salmo,salar,47.75,-58.75,7405:478:4,91,5.91,31.23,919,0.06,6
Salmo,salar,47.75,-2.25,7400:372:3,1,13.98,34.93,1270,0,0
Salmo,salar,47.75,-66.25,7406:476:3,58,5.85,29.5,2058,0.3,0
Salmo,salar,47.75,-65.75,7406:475:4,43,5.96,29.5,1908,0.44,7
Salmo,salar,47.75,-53.75,7405:373:4,41,5.33,31.63,1059,0.06,11
Salmo,salar,47.75,-52.75,7405:372:4,122,5.02,31.63,1004,0.06,15
Salmo,salar,48.25,-7.75,7400:487:2,182,13.52,35.39,555,0,237
Salmo,salar,48.25,-4.25,7400:384:1,23,13.34,35.25,1030,0,5
Salmo,salar,48.25,-69.25,7406:489:1,100,5.35,32.13,1328,0.38,13
Salmo,salar,48.25,-53.75,7405:383:2,4,4.14,31.9,1038,0.09,7
Salmo,salar,48.25,-64.75,7406:384:2,35,5.4,29.5,1903,0.17,11
Salmo,salar,48.75,-4.25,7400:384:3,44,13.34,35.25,1087,0,12
Salmo,salar,48.75,-3.75,7400:383:4,16,13.31,35.18,1317,0,11
Salmo,salar,48.75,-3.25,7400:383:3,4,13.31,35.18,1312,0,6
Salmo,salar,48.75,-2.75,7400:382:4,39,13.18,35.08,1089,0,13
Salmo,salar,48.75,-1.25,7400:381:3,11,12.81,34.81,1555,0,1
Salmo,salar,48.75,-69.25,7406:489:3,67,5.35,29.5,767,0.32,3
Salmo,salar,48.75,-67.75,7406:487:4,175,5.01,29.5,1859,0.27,8
Salmo,salar,48.75,-54.25,7405:384:3,1,4.39,32.02,978,0.13,1
Salmo,salar,48.75,-53.75,7405:383:4,3,4.14,31.9,1079,0.12,14
Salmo,salar,48.75,-50.25,7405:380:3,219,3.98,32.67,928,0.04,229
Salmo,salar,49.25,-2.25,7400:392:1,10,12.74,35.08,1122,0,17
Salmo,salar,49.25,-1.25,7400:391:1,9,12.54,34.81,1326,0,2
Salmo,salar,49.25,-0.75,7400:390:2,9,12.32,34.81,1381,0.00033333,4
Salmo,salar,49.25,-0.25,7400:390:1,31,12.32,34.81,1630,0.0025487,6
Salmo,salar,49.25,-55.75,7405:495:2,1,3.09,31.71,906,0.2,1
Salmo,salar,49.25,0.25,1400:390:1,26,12.31,34.81,1657,0.00580258,2
Salmo,salar,49.75,-6.25,7400:496:3,80,12.9,35.24,1009,0,17
Salmo,salar,49.75,-1.25,7400:391:3,27,12.54,34.88,1449,0,14
Salmo,salar,49.75,-56.25,7405:496:3,19,3.48,31.71,887,0.25,2
Salmo,salar,49.75,1.25,1400:391:3,28,12.26,34.72,1648,0.02,1
Salmo,salar,49.75,0.25,1400:390:3,37,12.31,34.72,1740,0,12
Salmo,salar,50.25,-4.75,7500:104:2,49,12.39,35.25,995,0,11
Salmo,salar,50.25,-4.25,7500:104:1,56,12.39,35.25,1049,0,14
Salmo,salar,50.25,-3.75,7500:103:2,53,12.5,35.18,1087,0,12
Salmo,salar,50.25,1.75,1500:101:2,20,12,34.59,1711,0.02,2
Salmo,salar,50.25,1.25,1500:101:1,43,12,34.72,2282,0.03,17
Salmo,salar,50.25,-66.25,7506:206:1,78,4.27,29.5,2708,0.12,9
Salmo,salar,50.25,-65.75,7506:205:2,109,4.29,30.2,2499,0.12,11
Salmo,salar,50.25,-62.25,7506:102:1,68,4.26,31.28,2144,0.14,10
Salmo,salar,50.25,-5.75,7500:205:2,55,12.38,35.06,1047,0,17
Salmo,salar,50.25,-5.25,7500:205:1,25,12.38,35.27,1080,0,11
Salmo,salar,50.75,-4.75,7500:104:4,52,12.39,35.25,1151,0,12
Salmo,salar,50.75,-3.25,7500:103:3,36,12.5,35.18,1326,0,7
Salmo,salar,50.75,-56.75,7505:206:4,21,3.13,31.36,762,0.27,1
Salmo,salar,50.75,-2.75,7500:102:4,33,12.48,34.88,1439,0,8
Salmo,salar,50.75,-2.25,7500:102:3,11,12.48,34.88,1312,0,6
Salmo,salar,50.75,-1.75,7500:101:4,15,12.38,34.88,1289,0.00054945,9
Salmo,salar,50.75,-1.25,7500:101:3,7,12.38,34.88,1526,0,10
Salmo,salar,50.75,1.75,1500:101:4,29,12,34.59,1746,0.01,6
Salmo,salar,51.25,-2.75,7500:112:2,24,12.35,34.88,1390,0,1
Salmo,salar,51.25,-57.25,7505:217:1,68,3.22,31.36,773,0.23,17
Salmo,salar,51.25,-56.75,7505:216:2,46,2.49,31.36,561,0.4,10
Salmo,salar,51.25,4.25,1500:114:1,4,11.57,33.43,2017,0.00927229,2
Salmo,salar,51.25,-55.25,7505:215:1,155,2.1,32.08,735,0.22,17
Salmo,salar,51.25,3.75,1500:113:2,7,11.57,33.88,2057,0.01,3
Salmo,salar,51.25,2.75,1500:112:2,24,11.55,34.25,1733,0.00937093,11
Salmo,salar,51.25,1.25,1500:111:1,17,11.66,34.59,1812,0.02,10
Salmo,salar,51.25,0.75,1500:110:2,6,11.86,34.59,1626,0.02,3
Salmo,salar,51.25,0.25,1500:110:1,1,11.86,34.72,1744,0.01,0
Salmo,salar,51.25,-4.25,7500:114:1,38,12.01,34.4,1459,0,14
Salmo,salar,51.25,-3.75,7500:113:2,44,12.29,35.18,1498,0,8
Salmo,salar,51.25,-3.25,7500:113:1,37,12.29,35.18,1509,0,8
Salmo,salar,51.75,4.75,1500:114:4,2,11.44,33.45,2333,0.00851101,6
Salmo,salar,51.75,-56.25,7505:216:3,57,2.49,31.38,586,0.31,11
Salmo,salar,51.75,4.25,1500:114:3,2,11.57,33.43,2124,0.00925529,10
Salmo,salar,51.75,3.75,1500:113:4,12,11.57,33.88,2396,0.01,14
Salmo,salar,51.75,1.25,1500:111:3,25,11.66,34.59,1488,0.03,15
Salmo,salar,51.75,-10.25,7501:110:3,45,12.52,35.36,993,0,14
Salmo,salar,51.75,0.75,1500:110:4,12,11.86,34.59,1716,0.02,5
Salmo,salar,51.75,-4.75,7500:114:4,23,12.01,34.4,1468,0,8
Salmo,salar,51.75,-4.25,7500:114:3,34,12.01,34.4,1411,0,7
Salmo,salar,51.75,-9.75,7500:219:4,15,12.49,35.36,924,0,9
Salmo,salar,51.75,-9.25,7500:219:3,3,12.49,35.36,911,0,3
Salmo,salar,51.75,-3.75,7500:113:4,62,12.29,34.4,1443,0.0013289,3
Salmo,salar,51.75,-8.75,7500:218:4,34,12.53,35,939,0,5
Salmo,salar,51.75,-3.25,7500:113:3,17,12.29,34.88,1346,0.01,1
Salmo,salar,51.75,-7.75,7500:217:4,70,12.37,35,1187,0,17
Salmo,salar,51.75,-5.25,7500:215:3,28,11.97,34.4,1534,0,15
Salmo,salar,51.75,-2.75,7500:112:4,32,12.35,34.88,1319,0.01,3
Salmo,salar,51.75,-2.25,7500:112:3,1,12.35,34.88,1398,0.01,1
Salmo,salar,52.25,1.25,1500:121:1,5,11.17,34.59,1778,0.01,1
Salmo,salar,52.25,-55.25,7505:225:1,152,1.31,31.38,802,0.23,68
Salmo,salar,52.25,-10.25,7501:120:1,46,12.21,35.2,810,0,14
Salmo,salar,52.25,-4.75,7500:124:2,104,11.45,34.4,1442,0,14
Salmo,salar,52.25,-4.25,7500:124:1,71,11.45,34.4,1133,0,8
Salmo,salar,52.25,-9.75,7500:229:2,13,12.17,35.2,800,0,5
Salmo,salar,52.25,-7.25,7500:227:1,39,11.93,35,1265,0,6
Salmo,salar,52.25,5.75,1500:225:2,2,11.25,33.43,1709,0.00744314,3
Salmo,salar,52.25,-56.25,7505:226:1,1,1.4,31.38,804,0.26,0
Salmo,salar,52.75,0.75,1500:120:4,5,11.05,34.56,1472,0.01,0
Salmo,salar,52.75,-4.25,7500:124:3,60,11.45,34.4,1352,0,14
Salmo,salar,52.75,-3.75,7500:123:4,1,11.56,34.4,1365,0.02,0
Salmo,salar,52.75,-8.75,7500:228:4,1,12.24,35,887,0,2
Salmo,salar,52.75,5.25,1500:225:3,14,11.26,33.49,1733,0.00664654,17
Salmo,salar,52.75,4.75,1500:124:4,10,11.33,33.43,1861,0.00725874,16
Salmo,salar,53.25,-4.75,7500:134:2,42,10.98,34.16,1581,0,16
Salmo,salar,53.25,-4.25,7500:134:1,17,10.98,34.16,1291,0.01,8
Salmo,salar,53.25,-3.75,7500:133:2,53,10.87,34.16,1181,0.03,6
Salmo,salar,53.25,-3.25,7500:133:1,38,10.87,34.16,1178,0.12,5
Salmo,salar,53.25,-2.75,7500:132:2,4,10.76,34.16,1224,0.05,1
Salmo,salar,53.25,-9.75,7500:239:2,26,11.86,35.22,748,0,14
Salmo,salar,53.25,-9.25,7500:239:1,19,11.86,35.22,819,0,6
Salmo,salar,53.25,-6.25,7500:236:1,7,11.25,34.16,1370,0,3
Salmo,salar,53.25,-60.75,7506:130:2,1,1.65,32.08,923,0.58,0
Salmo,salar,53.25,8.75,1500:238:2,1,10.45,31.76,1871,0.03,0
Salmo,salar,53.25,-60.25,7506:130:1,18,1.53,32.25,901,0.68,4
Salmo,salar,53.25,5.25,1500:235:1,16,10.95,33.49,2299,0.00594417,16
Salmo,salar,53.25,4.75,1500:134:2,17,10.95,33.77,2016,0.01,16
Salmo,salar,53.75,-10.25,7501:130:3,46,11.92,35.22,991,0,16
Salmo,salar,53.75,-2.75,7500:132:4,17,10.76,35.11,1147,0.04,1
Salmo,salar,53.75,-0.75,7500:130:4,1,10.1,34.56,1143,0.01,1
Salmo,salar,53.75,-9.75,7500:239:4,10,11.86,35.22,941,0,7
